blockage_id,reported_at,latitude,longitude,location_name,road_name,blockage_type,severity,passable,estimated_clearance_hours,reported_by,status,photo_id,source
RB0024,2026-08-23T20:40:50Z,25.8517,94.3015,"Kohima, Nagaland",district_road-46,flood_water,critical,False,12,ngo,partially_cleared,PH0024,resqnet_crowdsource
RB0025,2026-08-17T21:36:50Z,25.1467,91.6531,"Mawsynram, Meghalaya",village_road-58,road_collapse,high,True,8,citizen,cleared,PH0025,resqnet_crowdsource
RB0026,2026-08-29T15:13:50Z,25.4814,91.8849,"Shillong, Meghalaya",SH-53,fallen_trees,high,False,4,citizen,partially_cleared,PH0026,resqnet_crowdsource
RB0027,2026-09-03T04:12:50Z,23.8892,92.6079,"Aizawl, Mizoram",SH-4,landslide_debris,critical,False,48,volunteer,active,PH0027,resqnet_crowdsource
RB0028,2026-09-09T11:55:50Z,24.6802,93.998,"Imphal, Manipur",village_road-31,rockfall,moderate,False,8,ngo,partially_cleared,,resqnet_crowdsource
RB0029,2026-09-07T09:18:50Z,25.1909,91.678,"Mawsynram, Meghalaya",NH-59,flood_water,critical,True,2,volunteer,cleared,,resqnet_crowdsource
RB0030,2026-08-10T19:58:50Z,26.4488,92.712,"Tezpur, Assam",forest_road-7,bridge_damage,high,False,48,volunteer,active,PH0030,resqnet_crowdsource
RB0031,2026-09-01T23:03:50Z,27.1765,88.4788,"Gangtok, Sikkim",village_road-42,bridge_damage,moderate,True,48,ngo,cleared,PH0031,resqnet_crowdsource
RB0032,2026-09-04T00:15:50Z,25.4405,91.7413,"Mawsynram, Meghalaya",village_road-33,bridge_damage,low,False,48,citizen,active,PH0032,resqnet_crowdsource
RB0033,2026-08-30T22:54:50Z,27.2357,88.508,"Gangtok, Sikkim",district_road-22,bridge_damage,low,False,48,ngo,partially_cleared,,resqnet_crowdsource
RB0034,2026-09-06T15:35:50Z,26.6148,94.2781,"Jorhat, Assam",district_road-45,landslide_debris,high,False,24,authority,active,PH0034,resqnet_crowdsource
RB0035,2026-09-05T15:07:50Z,27.5269,88.5632,"Gangtok, Sikkim",forest_road-59,road_collapse,moderate,True,48,citizen,partially_cleared,,resqnet_crowdsource
RB0036,2026-08-30T02:56:50Z,26.6595,92.6173,"Tezpur, Assam",forest_road-58,fallen_trees,moderate,True,4,ngo,partially_cleared,,resqnet_crowdsource
RB0037,2026-09-03T07:17:50Z,26.7464,94.3633,"Jorhat, Assam",village_road-52,landslide_debris,critical,True,24,volunteer,cleared,PH0037,resqnet_crowdsource
RB0038,2026-08-26T08:03:50Z,25.8233,93.5387,"Dimapur, Nagaland",district_road-53,landslide_debris,moderate,True,2,volunteer,cleared,PH0038,resqnet_crowdsource
RB0039,2026-09-09T02:55:50Z,25.8888,93.6448,"Dimapur, Nagaland",SH-50,flood_water,critical,False,12,volunteer,cleared,,resqnet_crowdsource
RB0040,2026-08-10T07:59:50Z,26.7666,94.2651,"Jorhat, Assam",district_road-8,flood_water,critical,True,48,authority,active,PH0040,resqnet_crowdsource
RB0041,2026-08-26T08:08:50Z,25.6929,94.1214,"Kohima, Nagaland",SH-16,road_collapse,high,True,8,authority,partially_cleared,PH0041,resqnet_crowdsource
RB0042,2026-08-15T08:28:50Z,26.1905,91.9107,"Guwahati, Assam",NH-16,flood_water,low,True,24,citizen,cleared,PH0042,resqnet_crowdsource
RB0043,2026-08-14T04:39:50Z,26.73,92.7535,"Tezpur, Assam",SH-35,flood_water,low,True,24,ngo,active,PH0043,resqnet_crowdsource
RB0044,2026-08-22T19:18:50Z,26.673,92.8616,"Tezpur, Assam",district_road-16,bridge_damage,moderate,True,12,ngo,cleared,,resqnet_crowdsource
RB0045,2026-08-12T05:56:50Z,24.7034,92.8504,"Silchar, Assam",forest_road-32,landslide_debris,high,False,,ngo,partially_cleared,,resqnet_crowdsource
RB0046,2026-08-31T17:43:50Z,24.9188,93.9262,"Imphal, Manipur",SH-20,rockfall,moderate,False,2,volunteer,cleared,PH0046,resqnet_crowdsource
RB0047,2026-08-28T22:38:50Z,24.6983,93.9955,"Imphal, Manipur",village_road-55,bridge_damage,low,True,2,ngo,cleared,PH0047,resqnet_crowdsource
RB0048,2026-09-09T03:42:50Z,24.9552,92.8139,"Silchar, Assam",forest_road-14,road_collapse,moderate,False,8,citizen,active,PH0048,resqnet_crowdsource
RB0049,2026-09-06T06:06:50Z,26.6254,92.6896,"Tezpur, Assam",forest_road-46,flood_water,critical,True,24,ngo,cleared,,resqnet_crowdsource
RB0050,2026-08-20T18:35:50Z,25.8046,93.7351,"Dimapur, Nagaland",village_road-30,landslide_debris,critical,False,4,ngo,cleared,,resqnet_crowdsource
