zone_id,latitude,longitude,elevation,slope,aspect,curvature,data_source
Z_25.0_96.0,25.0,96.0,310,0.11,189.7,-0.0,open-elevation + DEM-derived
Z_25.0_96.5,25.0,96.5,211,0.19,29.9,0.0,open-elevation + DEM-derived
Z_25.0_97.0,25.0,97.0,164,0.18,9.1,2e-06,open-elevation + DEM-derived
Z_25.0_97.5,25.0,97.5,167,0.81,195.7,1e-06,open-elevation + DEM-derived
Z_25.5_88.0,25.5,88.0,33,0.31,86.5,1e-06,open-elevation + DEM-derived
Z_25.5_88.5,25.5,88.5,31,0.03,0.0,0.0,open-elevation + DEM-derived
Z_25.5_89.0,25.5,89.0,33,0.03,8.9,-0.0,open-elevation + DEM-derived
Z_25.5_89.5,25.5,89.5,24,0.03,300.5,0.0,open-elevation + DEM-derived
Z_25.5_90.0,25.5,90.0,71,0.27,273.1,0.0,open-elevation + DEM-derived
Z_25.5_90.5,25.5,90.5,437,0.41,282.9,-1e-06,open-elevation + DEM-derived
Z_25.5_91.0,25.5,91.0,686,0.79,273.1,-1e-06,open-elevation + DEM-derived
Z_25.5_91.5,25.5,91.5,1648,0.59,274.1,-6e-06,open-elevation + DEM-derived
Z_25.5_92.0,25.5,92.0,1584,0.51,47.8,-4e-06,open-elevation + DEM-derived
Z_25.5_92.5,25.5,92.5,1071,0.93,80.8,-3e-06,open-elevation + DEM-derived
Z_25.5_93.0,25.5,93.0,170,0.59,143.0,2e-06,open-elevation + DEM-derived
Z_25.5_93.5,25.5,93.5,527,1.16,229.2,1e-06,open-elevation + DEM-derived
Z_25.5_94.0,25.5,94.0,1521,0.51,260.7,-4e-06,open-elevation + DEM-derived
Z_25.5_94.5,25.5,94.5,1300,0.61,1.5,1e-06,open-elevation + DEM-derived
Z_25.5_95.0,25.5,95.0,1496,1.25,34.9,-4e-06,open-elevation + DEM-derived
Z_25.5_95.5,25.5,95.5,203,1.25,41.2,3e-06,open-elevation + DEM-derived
Z_25.5_96.0,25.5,96.0,231,0.68,354.2,1e-06,open-elevation + DEM-derived
Z_25.5_96.5,25.5,96.5,309,0.82,326.9,1e-06,open-elevation + DEM-derived
Z_25.5_97.0,25.5,97.0,919,0.27,17.7,-3e-06,open-elevation + DEM-derived
Z_25.5_97.5,25.5,97.5,182,0.3,64.5,2e-06,open-elevation + DEM-derived
Z_26.0_88.0,26.0,88.0,47,0.3,72.6,1e-06,open-elevation + DEM-derived
Z_26.0_88.5,26.0,88.5,55,0.06,358.8,-0.0,open-elevation + DEM-derived
Z_26.0_89.0,26.0,89.0,49,0.04,20.9,-0.0,open-elevation + DEM-derived
Z_26.0_89.5,26.0,89.5,33,0.03,17.4,0.0,open-elevation + DEM-derived
Z_26.0_90.0,26.0,90.0,36,0.05,247.6,0.0,open-elevation + DEM-derived
Z_26.0_90.5,26.0,90.5,99,0.39,181.0,0.0,open-elevation + DEM-derived
Z_26.0_91.0,26.0,91.0,46,0.67,177.3,1e-06,open-elevation + DEM-derived
Z_26.0_91.5,26.0,91.5,50,1.67,186.7,3e-06,open-elevation + DEM-derived
Z_26.0_92.0,26.0,92.0,343,1.59,183.1,1e-06,open-elevation + DEM-derived
Z_26.0_92.5,26.0,92.5,182,1.06,170.7,1e-06,open-elevation + DEM-derived
Z_26.0_93.0,26.0,93.0,80,0.11,220.9,1e-06,open-elevation + DEM-derived
Z_26.0_93.5,26.0,93.5,297,0.44,279.8,1e-06,open-elevation + DEM-derived
Z_26.0_94.0,26.0,94.0,753,1.74,212.1,1e-06,open-elevation + DEM-derived
Z_26.0_94.5,26.0,94.5,1720,0.65,201.1,-4e-06,open-elevation + DEM-derived
Z_26.0_95.0,26.0,95.0,1113,0.42,102.6,2e-06,open-elevation + DEM-derived
Z_26.0_95.5,26.0,95.5,1084,0.52,11.3,-2e-06,open-elevation + DEM-derived
Z_26.0_96.0,26.0,96.0,958,0.34,24.3,-1e-06,open-elevation + DEM-derived
Z_26.0_96.5,26.0,96.5,871,0.37,107.6,-2e-06,open-elevation + DEM-derived
Z_26.0_97.0,26.0,97.0,413,0.61,141.6,1e-06,open-elevation + DEM-derived
Z_26.0_97.5,26.0,97.5,292,0.38,351.3,1e-06,open-elevation + DEM-derived
Z_26.5_88.0,26.5,88.0,120,2.01,7.6,3e-06,open-elevation + DEM-derived
Z_26.5_88.5,26.5,88.5,90,0.75,2.5,1e-06,open-elevation + DEM-derived
Z_26.5_89.0,26.5,89.0,69,1.15,1.3,1e-06,open-elevation + DEM-derived
Z_26.5_89.5,26.5,89.5,50,2.34,0.2,3e-06,open-elevation + DEM-derived
Z_26.5_90.0,26.5,90.0,54,2.07,359.7,3e-06,open-elevation + DEM-derived
Z_26.5_90.5,26.5,90.5,64,0.75,0.6,1e-06,open-elevation + DEM-derived
Z_26.5_91.0,26.5,91.0,42,1.83,0.1,2e-06,open-elevation + DEM-derived
Z_26.5_91.5,26.5,91.5,58,1.61,359.5,2e-06,open-elevation + DEM-derived
Z_26.5_92.0,26.5,92.0,64,0.79,359.8,2e-06,open-elevation + DEM-derived
Z_26.5_92.5,26.5,92.5,63,0.57,358.5,1e-06,open-elevation + DEM-derived
Z_26.5_93.0,26.5,93.0,87,0.48,312.8,1e-06,open-elevation + DEM-derived
Z_26.5_93.5,26.5,93.5,600,0.38,358.5,-2e-06,open-elevation + DEM-derived
Z_26.5_94.0,26.5,94.0,102,0.7,186.2,2e-06,open-elevation + DEM-derived
Z_26.5_94.5,26.5,94.5,716,1.9,206.6,1e-06,open-elevation + DEM-derived
Z_26.5_95.0,26.5,95.0,1407,1.04,179.0,-4e-06,open-elevation + DEM-derived
Z_26.5_95.5,26.5,95.5,688,0.71,126.3,1e-06,open-elevation + DEM-derived
Z_26.5_96.0,26.5,96.0,526,0.51,38.4,1e-06,open-elevation + DEM-derived
Z_26.5_96.5,26.5,96.5,201,0.65,3.7,3e-06,open-elevation + DEM-derived
Z_26.5_97.0,26.5,97.0,462,1.4,350.9,1e-06,open-elevation + DEM-derived
Z_26.5_97.5,26.5,97.5,539,0.3,355.3,-0.0,open-elevation + DEM-derived
Z_27.0_88.0,27.0,88.0,1961,3.37,356.9,-4e-06,open-elevation + DEM-derived
Z_27.0_88.5,27.0,88.5,778,1.77,17.2,2e-06,open-elevation + DEM-derived
Z_27.0_89.0,27.0,89.0,1156,4.51,347.5,4e-06,open-elevation + DEM-derived
Z_27.0_89.5,27.0,89.5,2283,3.84,351.6,-3e-06,open-elevation + DEM-derived
Z_27.0_90.0,27.0,90.0,2022,1.82,31.7,-4e-06,open-elevation + DEM-derived
Z_27.0_90.5,27.0,90.5,816,1.92,4.3,3e-06,open-elevation + DEM-derived
Z_27.0_91.0,27.0,91.0,1799,4.13,353.0,-1e-06,open-elevation + DEM-derived
Z_27.0_91.5,27.0,91.5,1594,2.09,12.5,-2e-06,open-elevation + DEM-derived
Z_27.0_92.0,27.0,92.0,1102,4.06,7.9,3e-06,open-elevation + DEM-derived
Z_27.0_92.5,27.0,92.5,732,2.28,11.7,1e-06,open-elevation + DEM-derived
Z_27.0_93.0,27.0,93.0,391,0.72,3.7,1e-06,open-elevation + DEM-derived
Z_27.0_93.5,27.0,93.5,661,1.11,10.5,0.0,open-elevation + DEM-derived
Z_27.0_94.0,27.0,94.0,82,1.84,11.7,3e-06,open-elevation + DEM-derived
Z_27.0_94.5,27.0,94.5,89,0.63,182.0,1e-06,open-elevation + DEM-derived
Z_27.0_95.0,27.0,95.0,116,1.4,195.9,2e-06,open-elevation + DEM-derived
Z_27.0_95.5,27.0,95.5,680,0.99,234.0,-1e-06,open-elevation + DEM-derived
Z_27.0_96.0,27.0,96.0,1342,0.65,235.3,-3e-06,open-elevation + DEM-derived
Z_27.0_96.5,27.0,96.5,1495,0.36,313.9,-3e-06,open-elevation + DEM-derived
Z_27.0_97.0,27.0,97.0,1738,2.28,15.1,-2e-06,open-elevation + DEM-derived
Z_27.0_97.5,27.0,97.5,583,0.83,76.9,2e-06,open-elevation + DEM-derived
Z_27.5_88.0,27.5,88.0,3357,4.09,348.8,-5e-06,open-elevation + DEM-derived
Z_27.5_88.5,27.5,88.5,1718,4.78,352.6,9e-06,open-elevation + DEM-derived
Z_27.5_89.0,27.5,89.0,4301,4.15,341.9,-8e-06,open-elevation + DEM-derived
Z_27.5_89.5,27.5,89.5,3704,3.01,36.7,-3e-06,open-elevation + DEM-derived
Z_27.5_90.0,27.5,90.0,1537,2.39,29.4,7e-06,open-elevation + DEM-derived
Z_27.5_90.5,27.5,90.5,1900,5.0,341.4,5e-06,open-elevation + DEM-derived
Z_27.5_91.0,27.5,91.0,3987,2.49,358.2,-8e-06,open-elevation + DEM-derived
Z_27.5_91.5,27.5,91.5,2019,3.55,0.6,9e-06,open-elevation + DEM-derived
Z_27.5_92.0,27.5,92.0,3933,4.02,358.3,-7e-06,open-elevation + DEM-derived
Z_27.5_92.5,27.5,92.5,2205,5.52,21.8,3e-06,open-elevation + DEM-derived
Z_27.5_93.0,27.5,93.0,777,2.77,7.5,6e-06,open-elevation + DEM-derived
Z_27.5_93.5,27.5,93.5,1645,0.7,257.5,-4e-06,open-elevation + DEM-derived
Z_27.5_94.0,27.5,94.0,1830,2.0,30.0,-5e-06,open-elevation + DEM-derived
Z_27.5_94.5,27.5,94.5,111,1.28,61.1,3e-06,open-elevation + DEM-derived
Z_27.5_95.0,27.5,95.0,114,0.73,358.9,1e-06,open-elevation + DEM-derived
Z_27.5_95.5,27.5,95.5,132,0.55,184.0,1e-06,open-elevation + DEM-derived
Z_27.5_96.0,27.5,96.0,173,1.15,190.0,2e-06,open-elevation + DEM-derived
Z_27.5_96.5,27.5,96.5,439,1.63,286.5,6e-06,open-elevation + DEM-derived
Z_27.5_97.0,27.5,97.0,2575,0.79,346.7,-7e-06,open-elevation + DEM-derived
Z_27.5_97.5,27.5,97.5,719,3.47,22.9,6e-06,open-elevation + DEM-derived
Z_28.0_88.0,28.0,88.0,5818,3.28,286.6,-1.3e-05,open-elevation + DEM-derived
Z_28.0_88.5,28.0,88.5,5337,3.33,9.7,-5e-06,open-elevation + DEM-derived
Z_28.0_89.0,28.0,89.0,4952,0.72,42.1,-1e-06,open-elevation + DEM-derived
Z_28.0_89.5,28.0,89.5,4600,1.64,21.6,-1e-06,open-elevation + DEM-derived
Z_28.0_90.0,28.0,90.0,4023,3.6,351.9,1e-06,open-elevation + DEM-derived
Z_28.0_90.5,28.0,90.5,5377,3.27,358.1,-8e-06,open-elevation + DEM-derived
Z_28.0_91.0,28.0,91.0,4192,1.51,9.1,4e-06,open-elevation + DEM-derived
Z_28.0_91.5,28.0,91.5,5010,3.45,351.7,-5e-06,open-elevation + DEM-derived
Z_28.0_92.0,28.0,92.0,4961,0.78,326.9,-1e-06,open-elevation + DEM-derived
Z_28.0_92.5,28.0,92.5,5668,3.0,24.7,-1e-05,open-elevation + DEM-derived
Z_28.0_93.0,28.0,93.0,3033,5.29,39.3,-1e-06,open-elevation + DEM-derived
Z_28.0_93.5,28.0,93.5,515,1.77,28.3,1e-05,open-elevation + DEM-derived
Z_28.0_94.0,28.0,94.0,1741,1.08,354.2,-1e-06,open-elevation + DEM-derived
Z_28.0_94.5,28.0,94.5,682,1.4,25.7,2e-06,open-elevation + DEM-derived
Z_28.0_95.0,28.0,95.0,812,1.36,14.7,-1e-06,open-elevation + DEM-derived
Z_28.0_95.5,28.0,95.5,149,1.99,10.6,3e-06,open-elevation + DEM-derived
Z_28.0_96.0,28.0,96.0,252,4.26,344.1,7e-06,open-elevation + DEM-derived
Z_28.0_96.5,28.0,96.5,1941,4.09,339.3,-1e-06,open-elevation + DEM-derived
Z_28.0_97.0,28.0,97.0,2477,1.38,233.9,0.0,open-elevation + DEM-derived
Z_28.0_97.5,28.0,97.5,3657,4.14,18.1,-8e-06,open-elevation + DEM-derived
Z_28.5_88.0,28.5,88.0,4258,2.94,255.0,-1e-06,open-elevation + DEM-derived
Z_28.5_88.5,28.5,88.5,4870,1.37,195.2,-1e-06,open-elevation + DEM-derived
Z_28.5_89.0,28.5,89.0,4811,0.25,232.1,1e-06,open-elevation + DEM-derived
Z_28.5_89.5,28.5,89.5,5172,0.67,188.3,-3e-06,open-elevation + DEM-derived
Z_28.5_90.0,28.5,90.0,4959,1.55,3.2,-0.0,open-elevation + DEM-derived
Z_28.5_90.5,28.5,90.5,5037,1.02,197.3,0.0,open-elevation + DEM-derived
Z_28.5_91.0,28.5,91.0,5423,0.4,335.2,-3e-06,open-elevation + DEM-derived
Z_28.5_91.5,28.5,91.5,5297,0.6,111.1,-2e-06,open-elevation + DEM-derived
Z_28.5_92.0,28.5,92.0,4563,0.59,31.8,3e-06,open-elevation + DEM-derived
Z_28.5_92.5,28.5,92.5,4821,1.69,183.4,-0.0,open-elevation + DEM-derived
Z_28.5_93.0,28.5,93.0,4718,1.38,52.2,-5e-06,open-elevation + DEM-derived
Z_28.5_93.5,28.5,93.5,3146,4.65,15.1,0.0,open-elevation + DEM-derived
Z_28.5_94.0,28.5,94.0,2859,3.23,21.6,-1e-06,open-elevation + DEM-derived
Z_28.5_94.5,28.5,94.5,1320,1.78,32.8,2e-06,open-elevation + DEM-derived
Z_28.5_95.0,28.5,95.0,1380,0.8,325.8,0.0,open-elevation + DEM-derived
Z_28.5_95.5,28.5,95.5,2009,3.49,329.3,1e-06,open-elevation + DEM-derived
Z_28.5_96.0,28.5,96.0,4116,3.91,339.5,-8e-06,open-elevation + DEM-derived
Z_28.5_96.5,28.5,96.5,4116,2.66,34.6,-6e-06,open-elevation + DEM-derived
Z_28.5_97.0,28.5,97.0,1794,1.12,347.0,1e-05,open-elevation + DEM-derived
Z_28.5_97.5,28.5,97.5,4505,1.59,31.9,-9e-06,open-elevation + DEM-derived
Z_29.0_88.0,29.0,88.0,5088,2.69,300.2,-8e-06,open-elevation + DEM-derived
Z_29.0_88.5,29.0,88.5,4067,0.57,161.1,4e-06,open-elevation + DEM-derived
Z_29.0_89.0,29.0,89.0,4805,0.58,6.5,-1e-06,open-elevation + DEM-derived
Z_29.0_89.5,29.0,89.5,3966,0.46,276.6,6e-06,open-elevation + DEM-derived
Z_29.0_90.0,29.0,90.0,5512,0.41,229.6,-5e-06,open-elevation + DEM-derived
Z_29.0_90.5,29.0,90.5,4445,0.95,41.4,4e-06,open-elevation + DEM-derived
Z_29.0_91.0,29.0,91.0,4544,1.27,190.6,1e-06,open-elevation + DEM-derived
Z_29.0_91.5,29.0,91.5,4803,0.84,223.8,1e-06,open-elevation + DEM-derived
Z_29.0_92.0,29.0,92.0,5441,0.8,38.2,-4e-06,open-elevation + DEM-derived
Z_29.0_92.5,29.0,92.5,4045,1.18,62.0,4e-06,open-elevation + DEM-derived
Z_29.0_93.0,29.0,93.0,3846,0.63,305.8,4e-06,open-elevation + DEM-derived
Z_29.0_93.5,29.0,93.5,4835,1.82,343.8,-4e-06,open-elevation + DEM-derived
Z_29.0_94.0,29.0,94.0,4628,2.93,37.1,-5e-06,open-elevation + DEM-derived
