photo_id,uploaded_at,user_id,latitude,longitude,location_name,linked_report_id,linked_sos_id,file_name,file_size_kb,hazard_type,caption,status,source
PH0028,2026-08-12T02:59:50Z,U6129,26.1597,91.7509,"Guwahati, Assam",CR0028,,img_0028.jpg,571,tree_fall,"Photo taken at Guwahati, Assam showing hazard condition.",uploaded,resqnet_citizen
PH0029,2026-08-30T10:25:50Z,U6928,27.002,93.6742,"Itanagar, Arunachal",,,img_0029.jpg,2246,rockfall,"Photo taken at Itanagar, Arunachal showing hazard condition.",reviewed,resqnet_citizen
PH0030,2026-08-21T06:33:50Z,U4630,25.2506,91.6596,"Cherrapunji, Meghalaya",CR0030,,img_0030.jpg,2188,waterlogging,"Photo taken at Cherrapunji, Meghalaya showing hazard condition.",reviewed,resqnet_citizen
PH0031,2026-07-25T09:02:50Z,U3419,27.0317,93.5346,"Itanagar, Arunachal",,,img_0031.jpg,3213,rockfall,"Photo taken at Itanagar, Arunachal showing hazard condition.",uploaded,resqnet_citizen
PH0032,2026-07-31T14:25:50Z,U8354,25.3342,91.6589,"Mawsynram, Meghalaya",CR0032,SOS0032,img_0032.jpg,1423,road_damage,"Photo taken at Mawsynram, Meghalaya showing hazard condition.",uploaded,resqnet_citizen
PH0033,2026-09-05T14:26:50Z,U5961,27.3907,88.6321,"Gangtok, Sikkim",CR0033,,img_0033.jpg,1991,embankment_failure,"Photo taken at Gangtok, Sikkim showing hazard condition.",uploaded,resqnet_citizen
PH0034,2026-08-17T20:50:50Z,U2479,26.1675,91.7376,"Guwahati, Assam",CR0034,,img_0034.jpg,3343,landslide,"Photo taken at Guwahati, Assam showing hazard condition.",reviewed,resqnet_citizen
PH0035,2026-07-20T11:13:50Z,U4084,24.2973,93.6781,"Churachandpur, Manipur",,,img_0035.jpg,523,road_damage,"Photo taken at Churachandpur, Manipur showing hazard condition.",flagged,resqnet_citizen
PH0036,2026-08-08T09:43:50Z,U1641,25.5283,91.8809,"Shillong, Meghalaya",CR0036,,img_0036.jpg,750,road_damage,"Photo taken at Shillong, Meghalaya showing hazard condition.",reviewed,resqnet_citizen
PH0037,2026-08-22T17:28:50Z,U6543,24.3688,93.5935,"Churachandpur, Manipur",CR0037,,img_0037.jpg,1450,rockfall,"Photo taken at Churachandpur, Manipur showing hazard condition.",flagged,resqnet_citizen
PH0038,2026-08-16T20:38:50Z,U3463,26.7176,94.2202,"Jorhat, Assam",,,img_0038.jpg,2787,tree_fall,"Photo taken at Jorhat, Assam showing hazard condition.",uploaded,resqnet_citizen
PH0039,2026-07-27T03:35:50Z,U7171,24.862,92.7446,"Silchar, Assam",,SOS0039,img_0039.jpg,3979,rockfall,"Photo taken at Silchar, Assam showing hazard condition.",flagged,resqnet_citizen
PH0040,2026-08-13T13:31:50Z,U1298,26.7234,94.1398,"Jorhat, Assam",,SOS0040,img_0040.jpg,2091,waterlogging,"Photo taken at Jorhat, Assam showing hazard condition.",uploaded,resqnet_citizen
PH0041,2026-09-01T03:36:50Z,U2657,24.8185,93.9448,"Imphal, Manipur",CR0041,,img_0041.jpg,2811,road_damage,"Photo taken at Imphal, Manipur showing hazard condition.",flagged,resqnet_citizen
PH0042,2026-08-02T17:45:50Z,U3658,24.7532,93.9754,"Imphal, Manipur",CR0042,SOS0042,img_0042.jpg,3053,embankment_failure,"Photo taken at Imphal, Manipur showing hazard condition.",uploaded,resqnet_citizen
PH0043,2026-08-17T08:08:50Z,U4891,23.9254,91.3089,"Agartala, Tripura",CR0043,SOS0043,img_0043.jpg,1058,waterlogging,"Photo taken at Agartala, Tripura showing hazard condition.",reviewed,resqnet_citizen
PH0044,2026-07-21T13:57:50Z,U4178,25.2716,91.6719,"Mawsynram, Meghalaya",CR0044,,img_0044.jpg,1254,tree_fall,"Photo taken at Mawsynram, Meghalaya showing hazard condition.",flagged,resqnet_citizen
PH0045,2026-08-15T00:02:50Z,U4271,25.9603,93.6577,"Dimapur, Nagaland",,,img_0045.jpg,3680,road_damage,"Photo taken at Dimapur, Nagaland showing hazard condition.",flagged,resqnet_citizen
PH0046,2026-09-03T07:00:50Z,U9452,24.4032,93.64,"Churachandpur, Manipur",CR0046,,img_0046.jpg,3808,road_crack,"Photo taken at Churachandpur, Manipur showing hazard condition.",reviewed,resqnet_citizen
PH0047,2026-07-11T22:02:50Z,U8391,25.6557,91.9794,"Shillong, Meghalaya",CR0047,,img_0047.jpg,1631,waterlogging,"Photo taken at Shillong, Meghalaya showing hazard condition.",reviewed,resqnet_citizen
PH0048,2026-08-17T22:53:50Z,U6221,25.665,91.9611,"Shillong, Meghalaya",CR0048,SOS0048,img_0048.jpg,663,landslide,"Photo taken at Shillong, Meghalaya showing hazard condition.",reviewed,resqnet_citizen
PH0049,2026-07-18T14:10:50Z,U3273,24.3848,93.6768,"Churachandpur, Manipur",CR0049,SOS0049,img_0049.jpg,177,soil_movement,"Photo taken at Churachandpur, Manipur showing hazard condition.",uploaded,resqnet_citizen
PH0050,2026-08-31T12:08:50Z,U9647,25.2687,91.7812,"Cherrapunji, Meghalaya",,,img_0050.jpg,1076,tree_fall,"Photo taken at Cherrapunji, Meghalaya showing hazard condition.",flagged,resqnet_citizen
PH0051,2026-08-01T15:50:50Z,U2816,25.3653,91.5825,"Mawsynram, Meghalaya",CR0051,,img_0051.jpg,2455,waterlogging,"Photo taken at Mawsynram, Meghalaya showing hazard condition.",flagged,resqnet_citizen
PH0052,2026-08-22T16:54:50Z,U6780,24.7651,93.9201,"Imphal, Manipur",CR0052,,img_0052.jpg,1577,rockfall,"Photo taken at Imphal, Manipur showing hazard condition.",flagged,resqnet_citizen
PH0053,2026-08-08T13:19:50Z,U1333,25.8781,93.724,"Dimapur, Nagaland",CR0053,SOS0053,img_0053.jpg,1138,landslide,"Photo taken at Dimapur, Nagaland showing hazard condition.",reviewed,resqnet_citizen
PH0054,2026-09-05T18:39:50Z,U2698,25.3523,91.6295,"Mawsynram, Meghalaya",CR0054,,img_0054.jpg,2336,road_damage,"Photo taken at Mawsynram, Meghalaya showing hazard condition.",flagged,resqnet_citizen
PH0055,2026-07-18T08:25:50Z,U8840,24.8433,93.9991,"Imphal, Manipur",,SOS0055,img_0055.jpg,1974,landslide,"Photo taken at Imphal, Manipur showing hazard condition.",reviewed,resqnet_citizen
PH0056,2026-09-07T22:58:50Z,U1686,23.6902,92.6796,"Aizawl, Mizoram",CR0056,SOS0056,img_0056.jpg,2039,soil_movement,"Photo taken at Aizawl, Mizoram showing hazard condition.",uploaded,resqnet_citizen
PH0057,2026-07-30T23:36:50Z,U6848,25.3704,91.4921,"Mawsynram, Meghalaya",CR0057,,img_0057.jpg,3374,road_damage,"Photo taken at Mawsynram, Meghalaya showing hazard condition.",reviewed,resqnet_citizen
PH0058,2026-08-15T06:26:50Z,U7334,24.3008,93.6204,"Churachandpur, Manipur",CR0058,,img_0058.jpg,3365,soil_movement,"Photo taken at Churachandpur, Manipur showing hazard condition.",uploaded,resqnet_citizen
PH0059,2026-08-14T03:27:50Z,U3956,26.6429,92.7568,"Tezpur, Assam",,,img_0059.jpg,1355,embankment_failure,"Photo taken at Tezpur, Assam showing hazard condition.",flagged,resqnet_citizen
PH0060,2026-08-14T00:10:50Z,U8272,26.6041,92.7011,"Tezpur, Assam",CR0060,,img_0060.jpg,1881,soil_movement,"Photo taken at Tezpur, Assam showing hazard condition.",flagged,resqnet_citizen
