event_id,latitude,longitude,event_date,soil_moisture_0_7cm,soil_moisture_7_28cm,landslide_occurrence
3643,27.2879,88.2579,2011-06-23,0.413,0.416,1
2575,25.5242,92.9914,2010-10-09,0.509,0.516,1
3840,24.6869,93.9157,2011-07-25,0.427,0.423,1
7385,24.004,93.9815,2015-08-01,0.459,0.458,1
9681,27.21898773,89.5187916,2010-05-21,0.392,0.378,1
1027,24.3083,91.7333,2009-05-18,0.424,0.41,1
1064,22.2251,92.19,2009-07-31,0.43,0.43,1
6015,27.9032,96.174,2014-05-08,0.516,0.451,1
3741,25.4191,94.1079,2011-07-07,0.457,0.463,1
7696,27.4373,90.4678,2015-08-14,0.43,0.43,1
2106,26.8716,94.9921,2010-07-20,0.508,0.518,1
870,27.4,92.35,2008-10-29,0.409,0.412,1
210,27.0713,88.4308,2007-08-25,0.432,0.418,1
9051,26.09748244,91.8744337,2016-07-19,0.523,0.497,1
2392,27.3702,88.7334,2010-09-04,0.426,0.42,1
1037,26.89,88.47,2009-06-17,0.427,0.371,1
3830,24.3527,94.3429,2011-07-22,0.427,0.429,1
1091,27.02459801,88.43849551,2009-08-16,0.437,0.438,1
151,26.8905,88.2789,2007-08-02,0.423,0.425,1
7076,26.9282,88.4553,2015-07-04,0.421,0.425,1
4906,26.0977,94.7499,2013-06-07,0.441,0.426,1
2261,26.9435,88.4445,2010-08-17,0.438,0.434,1
9333,25.1622,92.0104,2016-02-25,0.461,0.379,1
218,27.0096,88.2548,2007-08-29,0.407,0.41,1
93,26.7324,88.4089,2007-06-13,0.385,0.389,1
3269,28.0791,96.5242,2011-03-22,0.434,0.435,1
9603,26.8861,88.1704,2016-10-12,0.421,0.423,1
6990,26.0319,94.5466,2015-06-24,0.5,0.514,1
1755,27.3341,88.6083,2010-04-17,0.287,0.288,1
4313,28.4659,95.86,2012-04-08,0.433,0.429,1
9169,26.1677,94.2442,2016-06-12,0.489,0.5,1
1995,27.0765,88.4808,2010-06-16,0.416,0.385,1
4435,27.174,95.8011,2012-06-25,0.501,0.518,1
6222,27.1249,93.7706,2014-10-01,0.443,0.46,1
5271,26.284,94.5808,2013-08-04,0.499,0.497,1
7263,25.4477,94.0489,2015-07-22,0.468,0.464,1
2344,24.7505,93.4221,2010-08-27,0.412,0.412,1
7369,24.1988,94.1016,2015-08-01,0.47,0.47,1
2360,27.7276,88.0446,2010-08-29,0.397,0.401,1
4377,26.1475,91.7356,2012-06-02,0.491,0.498,1
5430,24.9037,93.487,2013-09-01,0.421,0.427,1
4892,27.8776,94.25,2013-06-01,0.421,0.421,1
3525,25.0672,93.4093,2011-05-22,0.455,0.444,1
4424,26.149,91.7351,2012-06-20,0.51,0.511,1
9220,27.1027,88.1218,2016-07-26,0.426,0.424,1
7264,25.4538,93.9827,2015-07-22,0.468,0.464,1
5006,26.1147,94.3864,2013-07-01,0.508,0.505,1
8280,22.3496,91.8138,2015-09-21,0.278,0.267,1
85,22.6368,92.1453,2007-06-11,0.406,0.403,1
7279,24.9818,93.5142,2015-07-24,0.457,0.448,1
1963,26.944,88.4441,2010-06-11,0.423,0.413,1
9335,24.5202,92.7239,2016-05-18,0.419,0.411,1
6288,26.1985,91.7998,2014-09-22,0.495,0.505,1
256,27.3425,88.6236,2007-09-10,0.43,0.434,1
6966,26.9974,88.4314,2015-06-17,0.425,0.418,1
258,24.4279,94.0564,2007-09-11,0.393,0.397,1
5087,25.6269,94.1139,2013-07-12,0.51,0.496,1
2411,27.0011,93.7273,2010-09-10,0.507,0.499,1
5338,26.8727,94.9275,2013-08-16,0.493,0.511,1
4908,27.3721,88.708,2013-06-08,0.424,0.431,1
9338,24.4638,92.4943,2016-05-18,0.46,0.465,1
2282,26.1984,94.8158,2010-08-19,0.512,0.514,1
6143,23.7327,92.7463,2014-07-14,0.426,0.422,1
9124,25.203,90.5573,2016-07-19,0.472,0.471,1
2421,23.75406693,92.74128531,2010-09-13,0.417,0.414,1
2249,26.0814,94.803,2010-08-14,0.498,0.496,1
8901,25.7902,94.1318,2016-07-10,0.481,0.486,1
6016,24.8669,92.3576,2014-05-09,0.482,0.481,1
215,25.7428,93.9136,2007-08-28,0.5,0.492,1
2283,24.8961,93.4957,2010-08-19,0.44,0.442,1
5533,27.0599,88.4674,2013-09-16,0.328,0.337,1
7044,26.8366,88.0839,2015-07-01,0.415,0.415,1
4552,27.0377,88.3603,2012-09-14,0.43,0.43,1
1099,27.044,89.5744,2009-08-18,0.431,0.429,1
2281,25.61560252,94.11603493,2010-08-19,0.47,0.47,1
1996,26.4333,94.8833,2010-06-17,0.471,0.457,1
7780,23.3572,92.7878,2015-08-26,0.411,0.416,1
6283,26.1314,91.7548,2014-09-22,0.495,0.505,1
260,27.2084,88.4909,2007-09-11,0.424,0.43,1
869,27.2333,94.1167,2008-10-29,0.403,0.397,1
6656,25.6172,96.3005,2015-01-06,0.368,0.354,1
3662,25.03561729,94.0144205,2011-06-28,0.431,0.433,1
285,24.1293,92.6921,2007-09-29,0.418,0.409,1
8930,26.1699,94.4922,2016-07-11,0.504,0.51,1
4905,26.0977,94.7031,2013-06-07,0.441,0.426,1
5427,25.3833,94.1884,2013-08-15,0.507,0.51,1
8339,26.1666,91.7042,2015-09-23,0.51,0.513,1
9186,25.48,94.1383,2016-07-25,0.513,0.515,1
8955,25.0821,91.7783,2015-11-16,0.229,0.266,1
6792,25.1472,91.7483,2015-02-22,0.315,0.275,1
5107,25.6269,94.1139,2013-07-15,0.505,0.505,1
6286,26.1044,91.7082,2014-09-22,0.497,0.505,1
7253,24.7979,92.9974,2015-07-22,0.481,0.47,1
1089,26.7914,88.363,2009-08-16,0.434,0.432,1
6782,26.8545,88.3372,2011-09-28,0.411,0.417,1
594,24.9336,93.8275,2008-06-19,0.413,0.41,1
7040,26.9978,88.167,2015-07-01,0.423,0.423,1
3881,27.1034,93.6885,2011-08-05,0.507,0.49,1
5337,26.4205,94.9731,2013-08-16,0.457,0.457,1
7383,23.899,94.1434,2015-08-01,0.502,0.501,1
3925,27.4888,93.0153,2011-08-15,0.431,0.431,1
8900,25.0118,94.3136,2016-07-07,0.437,0.436,1
4757,28.1193,95.1645,2013-02-18,0.367,0.294,1
4579,26.8016,88.0499,2012-10-01,0.379,0.364,1
7666,25.1019,93.3729,2015-08-11,0.462,0.47,1
9308,24.9007,91.8644,2016-02-16,0.297,0.295,1
4432,22.3312,91.8252,2012-06-24,0.28,0.276,1
3813,27.1141,88.4658,2011-07-20,0.433,0.433,1
2113,27.3773,88.559,2010-07-21,0.435,0.438,1
2045,26.2363,94.8133,2010-07-06,0.497,0.498,1
9321,22.6239,91.6743,2016-05-21,0.274,0.265,1
7701,25.6278,94.1051,2015-08-19,0.508,0.502,1
2422,23.74182634,92.7141905,2010-09-13,0.407,0.41,1
6513,23.0137,91.7174,2014-08-14,0.47,0.465,1
318,22.894,91.5327,2007-10-19,0.494,0.504,1
4990,27.3765,88.7628,2013-06-27,0.427,0.427,1
2248,26.222,94.9152,2010-08-14,0.513,0.514,1
5268,26.0137,94.5163,2013-08-04,0.497,0.496,1
3965,24.808,93.117,2011-09-06,0.459,0.456,1
6106,26.1407,91.7645,2014-06-26,0.514,0.518,1
7838,23.6866,93.017,2015-08-27,0.43,0.431,1
1092,26.74452462,88.40011959,2009-08-16,0.434,0.436,1
7035,25.4243,88.2746,2015-06-30,0.414,0.415,1
1111,27.1344,88.4575,2009-08-20,0.423,0.428,1
2044,25.8877,94.7861,2010-07-06,0.49,0.495,1
6969,25.5114,90.215,2015-06-16,0.491,0.497,1
2587,25.6623,94.1072,2010-10-10,0.491,0.5,1
8684,25.9611,91.3681,2016-07-07,0.512,0.506,1
1596,24.7339,93.9161,2010-03-27,0.199,0.203,1
1771,26.1978,91.7665,2010-04-20,0.506,0.491,1
7364,24.819,94.3551,2015-07-31,0.43,0.43,1
3680,22.344,91.8161,2011-07-01,0.283,0.283,1
10007,26.19037705,91.77306002,2017-07-10,0.498,0.516,1
6968,25.463,92.2121,2015-06-13,0.514,0.508,1
7373,24.9111,94.4759,2015-08-01,0.43,0.429,1
4570,27.8458,95.2253,2012-09-19,0.515,0.512,1
1935,23.8986,91.7599,2010-06-03,0.411,0.409,1
7276,26.1062,91.8717,2015-07-25,0.494,0.504,1
10008,26.7973,88.1389,2016-08-09,0.396,0.402,1
2577,25.5265,93.8673,2010-10-09,0.483,0.492,1
1102,27.2644,88.1365,2009-08-19,0.423,0.427,1
2576,25.4788,94.1399,2010-10-09,0.516,0.517,1
1056,27.04,88.264,2009-07-22,0.394,0.397,1
6124,25.6157,96.3167,2014-07-04,0.514,0.513,1
4858,26.1662,91.7138,2013-05-11,0.499,0.502,1
6293,25.5006,90.0896,2014-10-20,0.32,0.33,1
5269,25.8376,94.5234,2013-08-04,0.483,0.483,1
5270,26.0481,94.4619,2013-08-04,0.497,0.496,1
6284,26.1324,91.8342,2014-09-22,0.495,0.505,1
4743,22.6205,91.6591,2013-01-30,0.1,0.132,1
6146,27.059,88.4694,2014-07-15,0.423,0.417,1
4394,27.1748,88.6458,2012-06-07,0.316,0.309,1
7699,26.0214,94.5224,2015-08-19,0.502,0.509,1
9251,25.8702,94.7844,2016-07-28,0.439,0.429,1
7664,24.7459,93.4251,2015-08-11,0.419,0.425,1
3816,27.5003,90.5081,2011-07-21,0.421,0.42,1
1088,26.8867642,88.28044714,2009-08-16,0.424,0.425,1
10972,26.191688,91.810079,2016-12-15,0.291,0.326,1
9404,28.0822,96.5316,2016-05-01,0.403,0.407,1
7589,25.2568,92.3825,2015-08-19,0.515,0.516,1
7283,22.4254,91.8022,2015-07-26,0.283,0.283,1
7887,27.8835,96.9262,2015-08-16,0.417,0.416,1
6287,26.1295,91.7056,2014-09-22,0.495,0.505,1
2296,27.167,88.3652,2010-08-20,0.418,0.423,1
9309,25.6127,96.2961,2016-05-23,0.482,0.485,1
2304,25.5718,94.1211,2010-08-21,0.463,0.468,1
5273,26.1807,94.5497,2013-08-04,0.499,0.497,1
7023,22.0104,91.9538,2015-06-01,0.085,0.063,1
8995,26.1963,91.8074,2016-07-14,0.503,0.506,1
1125,27.3746,88.7648,2009-08-26,0.426,0.423,1
7313,24.1077,94.0396,2015-08-01,0.458,0.456,1
2112,27.5509,88.6475,2010-07-21,0.435,0.438,1
2567,25.6633,94.4703,2010-10-08,0.514,0.513,1
241,27.201,88.4883,2007-09-07,0.435,0.436,1
3794,26.99195749,88.42280921,2011-07-17,0.431,0.42,1
4392,29.2409,95.9761,2012-06-06,0.429,0.429,1
6285,26.159,91.8178,2014-09-22,0.495,0.505,1
868,26.3333,91.25,2008-10-29,0.48,0.489,1
5005,26.72,95.029,2013-07-01,0.513,0.489,1
3860,25.4192,94.108,2011-07-29,0.464,0.466,1
1032,27.0095,88.2592,2009-05-26,0.431,0.43,1
5476,27.3736,88.7323,2013-09-07,0.396,0.409,1
1127,25.1718,93.123,2009-08-27,0.484,0.482,1
221,22.6461,88.3403,2007-08-31,0.38,0.389,1
1107,27.0736,88.4779,2009-08-20,0.423,0.428,1
4549,27.5205,89.7466,2012-09-14,0.429,0.425,1
2201,27.0366,88.263,2010-08-05,0.421,0.418,1
5603,25.426,94.6024,2013-10-13,0.427,0.445,1
5442,27.1614,93.7525,2013-09-02,0.47,0.469,1
7933,26.1868,91.6739,2015-09-01,0.511,0.514,1
2042,26.0093,94.5238,2010-07-06,0.489,0.496,1
3637,25.51614662,94.2341227,2011-06-21,0.499,0.511,1
6965,27.0257,88.4301,2015-06-17,0.425,0.418,1
4393,27.7565,88.632,2012-06-07,0.425,0.426,1
3837,26.5836,93.0038,2011-07-24,0.508,0.509,1
220,25.1333,93.9667,2007-08-31,0.436,0.442,1
212,25.5576,91.8506,2007-08-26,0.486,0.492,1
7372,25.0634,94.3415,2015-07-31,0.451,0.454,1
3806,27.1032,93.6884,2011-07-19,0.505,0.51,1
126,27.1499,88.38,2007-07-16,0.416,0.411,1
1168,27.1954,88.6115,2009-09-17,0.409,0.411,1
2570,24.837,93.9128,2010-10-08,0.453,0.45,1
7702,22.2092,92.1868,2015-08-20,0.429,0.428,1
2214,27.0375,88.2627,2010-08-06,0.413,0.415,1
2026,25.4916,91.2698,2010-06-28,0.508,0.517,1
3943,27.13862165,88.22551799,2011-08-23,0.431,0.43,1
714,27.163,94.0,2008-08-14,0.435,0.442,1
247,25.0604,93.9877,2007-09-08,0.44,0.444,1
6110,26.1619,91.7697,2014-06-27,0.507,0.518,1
4407,25.0951,92.3567,2012-06-13,0.51,0.499,1
239,27.0667,89.5833,2007-09-07,0.432,0.43,1
3789,27.2743,92.9064,2011-07-16,0.465,0.465,1
9618,26.9343,88.4486,2016-10-15,0.392,0.399,1
9245,25.6226,96.2946,2016-01-25,0.337,0.351,1
6292,25.7238,89.9032,2014-09-23,0.439,0.435,1
6783,26.8546,88.3373,2012-07-19,0.43,0.431,1
545,24.9849,92.8411,2008-05-20,0.513,0.415,1
2436,24.3069,93.125,2010-09-16,0.429,0.428,1
7265,25.5007,93.9854,2015-07-22,0.468,0.464,1
7334,28.1737,94.7596,2015-08-18,0.429,0.428,1
758,27.05,90.8,2008-08-29,0.429,0.43,1
7727,25.6263,94.1057,2015-08-20,0.511,0.51,1
741,22.344,91.8188,2008-08-23,0.243,0.251,1
6200,27.0869,93.6086,2014-08-17,0.511,0.514,1
9617,26.888,88.2796,2016-10-15,0.407,0.411,1
7778,23.8447,93.0514,2015-08-26,0.423,0.422,1
6290,25.5772,91.8666,2014-09-23,0.51,0.52,1
1110,26.88405686,88.28087032,2009-08-20,0.43,0.431,1
4408,25.5498,92.0757,2012-06-13,0.49,0.496,1
2140,25.0477,92.801,2010-07-25,0.496,0.501,1
4403,24.8142,93.5444,2012-06-10,0.401,0.389,1
5429,27.3425,88.2426,2013-09-01,0.426,0.425,1
2243,25.70223725,94.04619681,2010-08-13,0.515,0.511,1
9074,27.1176,88.1069,2016-07-20,0.421,0.425,1
2554,23.9723,96.8566,2010-10-06,0.501,0.487,1
9142,26.3185,94.5247,2016-06-14,0.495,0.505,1
6107,26.1844,91.7896,2014-06-26,0.514,0.518,1
255,24.2451,94.0691,2007-09-10,0.441,0.438,1
1882,27.21962595,89.5187916,2010-05-20,0.397,0.373,1
4556,27.1675,88.3651,2012-09-16,0.429,0.43,1
7660,25.6237,94.1136,2015-08-12,0.46,0.465,1
7037,26.8811,88.2779,2015-07-01,0.423,0.423,1
2437,23.7527,92.694,2010-09-16,0.421,0.422,1
7389,24.4072,94.0644,2015-08-01,0.436,0.433,1
7371,23.9939,94.0573,2015-08-01,0.459,0.458,1
7923,26.49349035,91.72137514,2015-09-01,0.515,0.514,1
731,26.138,94.25,2008-08-19,0.496,0.493,1
2067,27.21782272,89.51924545,2010-07-13,0.421,0.423,1
760,25.67,94.1066,2008-08-29,0.499,0.49,1
10005,26.10973183,91.80317334,2017-07-06,0.505,0.512,1
3632,27.0638,88.4659,2011-06-20,0.402,0.404,1
2182,24.9356,93.8443,2010-07-31,0.418,0.414,1
6963,23.7131,92.7362,2015-06-19,0.386,0.365,1
1954,24.7543,93.5039,2010-06-07,0.408,0.409,1
5336,26.3897,94.9439,2013-08-16,0.457,0.457,1
9365,25.6219,96.2887,2016-04-02,0.317,0.322,1
7590,25.1416,92.3807,2015-08-19,0.515,0.516,1
7134,24.5582,88.1825,2015-04-19,0.27,0.234,1
1222,23.73478778,92.72124394,2009-10-05,0.429,0.43,1
8222,26.1961,91.7825,2016-06-22,0.512,0.503,1
7706,25.0728,92.3636,2015-08-19,0.499,0.517,1
9215,27.1758,88.5294,2016-01-14,0.305,0.308,1
9620,27.172,88.5292,2016-10-15,0.392,0.399,1
8224,23.7313,92.7187,2015-09-14,0.417,0.415,1
614,26.89,88.28,2008-06-29,0.419,0.419,1
1100,26.8928,89.4497,2009-08-18,0.433,0.433,1
242,26.8833,88.2833,2007-09-07,0.429,0.431,1
3898,22.2009,92.2168,2011-08-08,0.423,0.423,1
4241,25.1604,93.6795,2012-03-04,0.324,0.294,1
755,27.337,88.609,2008-08-28,0.431,0.435,1
1756,27.322,88.6087,2010-04-17,0.268,0.284,1
1930,28.4298,95.8776,2010-05-31,0.421,0.427,1
9334,24.5204,92.7264,2016-05-18,0.419,0.411,1
8237,27.0136,92.6351,2016-07-01,0.477,0.477,1
4385,27.7167,88.5577,2012-06-03,0.421,0.424,1
585,27.0998,93.6287,2008-06-14,0.503,0.503,1
4859,26.1771,91.7599,2013-05-11,0.49,0.487,1
3916,25.7713,93.8067,2011-08-13,0.501,0.506,1
9428,27.5523,91.752,2016-04-22,0.427,0.429,1
4436,26.9986,95.4993,2012-06-25,0.496,0.508,1
7034,27.0875,88.6556,2015-06-30,0.416,0.423,1
7298,22.3513,91.8295,2015-07-27,0.282,0.283,1
5250,27.8837,93.0515,2013-08-01,0.423,0.411,1
3805,27.05374234,88.42572376,2011-07-19,0.435,0.417,1
3738,24.8063,93.9482,2011-07-06,0.436,0.439,1
2426,22.7176,92.8416,2010-09-13,0.425,0.423,1
7266,25.5098,93.8794,2015-07-22,0.468,0.464,1
1084,27.7,92.8,2009-08-12,0.429,0.429,1
6930,25.6115,96.2907,2015-03-30,0.355,0.307,1
253,23.8917,90.9733,2007-09-10,0.43,0.429,1
5969,25.8509,97.4381,2014-03-20,0.339,0.376,1
1129,24.8628,94.4182,2009-08-30,0.419,0.412,1
2166,24.9786,93.5027,2010-07-29,0.448,0.441,1
1051,26.026,97.3715,2009-07-04,0.504,0.498,1
213,25.2946,92.8339,2007-08-26,0.52,0.503,1
4426,26.1226,91.7162,2012-06-22,0.491,0.514,1
8366,25.583,91.893,2015-09-23,0.515,0.513,1
1934,24.6005,92.3814,2010-06-03,0.442,0.45,1
9464,27.5754,91.9754,2016-08-05,0.399,0.399,1
7655,27.5799,91.8569,2016-04-22,0.422,0.425,1
3912,27.44,92.2833,2011-08-12,0.447,0.45,1
5272,26.2083,94.5438,2013-08-04,0.499,0.497,1
580,24.6596,93.9784,2008-06-09,0.392,0.266,1
5575,25.8266,94.1497,2013-10-05,0.49,0.514,1
8996,26.1768,91.7702,2016-07-14,0.503,0.506,1
1613,27.8997,93.3497,2010-04-02,0.428,0.427,1
4857,23.7281,92.7175,2013-05-11,0.396,0.39,1
7138,27.0816,88.4397,2015-07-07,0.408,0.417,1
2084,25.6167,96.3167,2010-07-15,0.507,0.507,1
6945,25.16,93.686,2015-06-19,0.422,0.432,1
1857,25.3433,92.2897,2010-05-11,0.507,0.513,1
2743,27.5798729,91.85672387,2010-11-22,0.385,0.384,1
4860,26.1016,91.6906,2013-05-11,0.465,0.425,1
4845,24.2315,92.6755,2013-05-07,0.396,0.385,1
1770,26.1965,91.763,2010-04-20,0.506,0.491,1
7363,26.8843,88.1835,2015-06-30,0.426,0.421,1
7728,26.1028,91.8806,2015-08-22,0.487,0.501,1
7314,23.7736,94.1201,2015-08-01,0.497,0.513,1
10024,25.83762589,93.94633448,2017-06-25,0.505,0.508,1
5274,26.0838,94.564,2013-08-04,0.497,0.496,1
3776,27.125,93.7145,2011-07-15,0.463,0.467,1
7836,24.042,92.6724,2015-08-27,0.423,0.426,1
4798,28.8254,96.1509,2013-04-07,0.39,0.396,1
7388,24.416,94.0984,2015-08-01,0.436,0.433,1
2343,25.4786,94.1327,2010-08-27,0.507,0.508,1
5421,26.4205,94.9731,2013-08-30,0.453,0.454,1
3619,27.4885,88.4451,2011-06-17,0.424,0.431,1
7591,25.0318,92.4584,2015-03-19,0.241,0.263,1
3683,25.8782,94.1739,2011-07-01,0.518,0.51,1
9619,27.1695,88.3664,2016-10-15,0.414,0.418,1
5441,28.611,94.9829,2013-09-02,0.429,0.426,1
9232,23.5397,93.3783,2016-07-28,0.407,0.409,1
4434,26.1049,91.7369,2012-06-25,0.513,0.511,1
1090,26.9599,88.268,2009-08-16,0.423,0.425,1
4378,28.8254,96.1517,2012-06-02,0.428,0.429,1
7214,27.36,93.0385,2015-07-15,0.476,0.475,1
2405,28.3036,95.4112,2010-09-09,0.437,0.436,1
3556,25.1555,93.8474,2011-05-31,0.457,0.458,1
5582,26.1309,91.8383,2013-10-06,0.516,0.517,1
2569,25.2745,94.0212,2010-10-08,0.453,0.45,1
2423,23.73504471,92.71060943,2010-09-13,0.407,0.41,1
3532,25.0888,92.8551,2011-05-24,0.508,0.507,1
2345,27.3392,88.6188,2010-08-27,0.422,0.423,1
7956,26.048,91.8695,2015-09-05,0.507,0.508,1
6970,25.5084,90.2191,2015-06-16,0.496,0.499,1
2425,23.3439,93.0748,2010-09-13,0.418,0.414,1
