zone_id,latitude,longitude,land_cover,land_cover_code,data_source
Z_22.5_94.5,22.5,94.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_95.0,22.5,95.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_95.5,22.5,95.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_96.0,22.5,96.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_96.5,22.5,96.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_97.0,22.5,97.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_22.5_97.5,22.5,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_88.0,23.0,88.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_88.5,23.0,88.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_89.0,23.0,89.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_89.5,23.0,89.5,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_90.0,23.0,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_90.5,23.0,90.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_91.0,23.0,91.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_91.5,23.0,91.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_92.0,23.0,92.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_92.5,23.0,92.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_93.0,23.0,93.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_93.5,23.0,93.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_94.0,23.0,94.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_94.5,23.0,94.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_95.0,23.0,95.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_95.5,23.0,95.5,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_96.0,23.0,96.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_96.5,23.0,96.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_97.0,23.0,97.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.0_97.5,23.0,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_88.0,23.5,88.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_88.5,23.5,88.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_89.0,23.5,89.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_89.5,23.5,89.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_90.0,23.5,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_90.5,23.5,90.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_91.0,23.5,91.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_91.5,23.5,91.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_92.0,23.5,92.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_92.5,23.5,92.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_93.0,23.5,93.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_93.5,23.5,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_94.0,23.5,94.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_94.5,23.5,94.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_95.0,23.5,95.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_95.5,23.5,95.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_96.0,23.5,96.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_96.5,23.5,96.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_97.0,23.5,97.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_23.5_97.5,23.5,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_88.0,24.0,88.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_88.5,24.0,88.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_89.0,24.0,89.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_89.5,24.0,89.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_90.0,24.0,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_90.5,24.0,90.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_91.0,24.0,91.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_91.5,24.0,91.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_92.0,24.0,92.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_92.5,24.0,92.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_93.0,24.0,93.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_93.5,24.0,93.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_94.0,24.0,94.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_94.5,24.0,94.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_95.0,24.0,95.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_95.5,24.0,95.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_96.0,24.0,96.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_96.5,24.0,96.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_97.0,24.0,97.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.0_97.5,24.0,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_88.0,24.5,88.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_88.5,24.5,88.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_89.0,24.5,89.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_89.5,24.5,89.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_90.0,24.5,90.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_90.5,24.5,90.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_91.0,24.5,91.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_91.5,24.5,91.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_92.0,24.5,92.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_92.5,24.5,92.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_93.0,24.5,93.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_93.5,24.5,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_94.0,24.5,94.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_94.5,24.5,94.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_95.0,24.5,95.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_95.5,24.5,95.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_96.0,24.5,96.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_96.5,24.5,96.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_97.0,24.5,97.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_24.5_97.5,24.5,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_88.0,25.0,88.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_88.5,25.0,88.5,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_89.0,25.0,89.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_89.5,25.0,89.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_90.0,25.0,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_90.5,25.0,90.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_91.0,25.0,91.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_91.5,25.0,91.5,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_92.0,25.0,92.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_92.5,25.0,92.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_93.0,25.0,93.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_93.5,25.0,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_94.0,25.0,94.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_94.5,25.0,94.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_95.0,25.0,95.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_95.5,25.0,95.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_96.0,25.0,96.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_96.5,25.0,96.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_97.0,25.0,97.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.0_97.5,25.0,97.5,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_88.0,25.5,88.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_88.5,25.5,88.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_89.0,25.5,89.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_89.5,25.5,89.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_90.0,25.5,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_90.5,25.5,90.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_91.0,25.5,91.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_91.5,25.5,91.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_92.0,25.5,92.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_92.5,25.5,92.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_93.0,25.5,93.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_93.5,25.5,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_94.0,25.5,94.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_94.5,25.5,94.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_95.0,25.5,95.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_95.5,25.5,95.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_96.0,25.5,96.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_96.5,25.5,96.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_97.0,25.5,97.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_25.5_97.5,25.5,97.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_88.0,26.0,88.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_88.5,26.0,88.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_89.0,26.0,89.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_89.5,26.0,89.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_90.0,26.0,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_90.5,26.0,90.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_91.0,26.0,91.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_91.5,26.0,91.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_92.0,26.0,92.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_92.5,26.0,92.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_93.0,26.0,93.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_93.5,26.0,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_94.0,26.0,94.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_94.5,26.0,94.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_95.0,26.0,95.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_95.5,26.0,95.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_96.0,26.0,96.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_96.5,26.0,96.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_97.0,26.0,97.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.0_97.5,26.0,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_88.0,26.5,88.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_88.5,26.5,88.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_89.0,26.5,89.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_89.5,26.5,89.5,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_90.0,26.5,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_90.5,26.5,90.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_91.0,26.5,91.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_91.5,26.5,91.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_92.0,26.5,92.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_92.5,26.5,92.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_93.0,26.5,93.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_93.5,26.5,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_94.0,26.5,94.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_94.5,26.5,94.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_95.0,26.5,95.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_95.5,26.5,95.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_96.0,26.5,96.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_96.5,26.5,96.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_97.0,26.5,97.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_26.5_97.5,26.5,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_88.0,27.0,88.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_88.5,27.0,88.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_89.0,27.0,89.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_89.5,27.0,89.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_90.0,27.0,90.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_90.5,27.0,90.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_91.0,27.0,91.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_91.5,27.0,91.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_92.0,27.0,92.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_92.5,27.0,92.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_93.0,27.0,93.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_93.5,27.0,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_94.0,27.0,94.0,wetland,6,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_94.5,27.0,94.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_95.0,27.0,95.0,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_95.5,27.0,95.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_96.0,27.0,96.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_96.5,27.0,96.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_97.0,27.0,97.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.0_97.5,27.0,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_88.0,27.5,88.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_88.5,27.5,88.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_89.0,27.5,89.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_89.5,27.5,89.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_90.0,27.5,90.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_90.5,27.5,90.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_91.0,27.5,91.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_91.5,27.5,91.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_92.0,27.5,92.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_92.5,27.5,92.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_93.0,27.5,93.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_93.5,27.5,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_94.0,27.5,94.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_94.5,27.5,94.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_95.0,27.5,95.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_95.5,27.5,95.5,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_96.0,27.5,96.0,water,5,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_96.5,27.5,96.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_97.0,27.5,97.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_27.5_97.5,27.5,97.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_88.0,28.0,88.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_88.5,28.0,88.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_89.0,28.0,89.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_89.5,28.0,89.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_90.0,28.0,90.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_90.5,28.0,90.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_91.0,28.0,91.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_91.5,28.0,91.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_92.0,28.0,92.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_92.5,28.0,92.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_93.0,28.0,93.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_93.5,28.0,93.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_94.0,28.0,94.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_94.5,28.0,94.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_95.0,28.0,95.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_95.5,28.0,95.5,agriculture,1,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_96.0,28.0,96.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_96.5,28.0,96.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_97.0,28.0,97.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.0_97.5,28.0,97.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_88.0,28.5,88.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_88.5,28.5,88.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_89.0,28.5,89.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_89.5,28.5,89.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_90.0,28.5,90.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_90.5,28.5,90.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_91.0,28.5,91.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_91.5,28.5,91.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_92.0,28.5,92.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_92.5,28.5,92.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_93.0,28.5,93.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_93.5,28.5,93.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_94.0,28.5,94.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_94.5,28.5,94.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_95.0,28.5,95.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_95.5,28.5,95.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_96.0,28.5,96.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_96.5,28.5,96.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_28.5_97.0,28.5,97.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
