zone_id,latitude,longitude,historical_landslide_count,historical_landslide_density,susceptibility_level,data_source
Z_22.5_92.5,22.5,92.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_93.0,22.5,93.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_93.5,22.5,93.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_94.0,22.5,94.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_94.5,22.5,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_95.0,22.5,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_95.5,22.5,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_96.0,22.5,96.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_96.5,22.5,96.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_97.0,22.5,97.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_22.5_97.5,22.5,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_88.0,23.0,88.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_88.5,23.0,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_89.0,23.0,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_89.5,23.0,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_90.0,23.0,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_90.5,23.0,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_91.0,23.0,91.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_91.5,23.0,91.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_92.0,23.0,92.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_92.5,23.0,92.5,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_93.0,23.0,93.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_93.5,23.0,93.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_94.0,23.0,94.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_94.5,23.0,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_95.0,23.0,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_95.5,23.0,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_96.0,23.0,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_96.5,23.0,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_97.0,23.0,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.0_97.5,23.0,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_88.0,23.5,88.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_88.5,23.5,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_89.0,23.5,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_89.5,23.5,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_90.0,23.5,90.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_90.5,23.5,90.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_91.0,23.5,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_91.5,23.5,91.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_92.0,23.5,92.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_92.5,23.5,92.5,19,0.3878,high,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_93.0,23.5,93.0,4,0.0816,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_93.5,23.5,93.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_94.0,23.5,94.0,4,0.0816,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_94.5,23.5,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_95.0,23.5,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_95.5,23.5,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_96.0,23.5,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_96.5,23.5,96.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_97.0,23.5,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_23.5_97.5,23.5,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_88.0,24.0,88.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_88.5,24.0,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_89.0,24.0,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_89.5,24.0,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_90.0,24.0,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_90.5,24.0,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_91.0,24.0,91.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_91.5,24.0,91.5,5,0.102,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_92.0,24.0,92.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_92.5,24.0,92.5,4,0.0816,low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_93.0,24.0,93.0,5,0.102,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_93.5,24.0,93.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_94.0,24.0,94.0,10,0.2041,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_94.5,24.0,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_95.0,24.0,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_95.5,24.0,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_96.0,24.0,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_96.5,24.0,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_97.0,24.0,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.0_97.5,24.0,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_88.0,24.5,88.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_88.5,24.5,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_89.0,24.5,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_89.5,24.5,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_90.0,24.5,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_90.5,24.5,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_91.0,24.5,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_91.5,24.5,91.5,5,0.102,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_92.0,24.5,92.0,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_92.5,24.5,92.5,7,0.1429,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_93.0,24.5,93.0,9,0.1837,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_93.5,24.5,93.5,20,0.4082,high,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_94.0,24.5,94.0,5,0.102,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_94.5,24.5,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_95.0,24.5,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_95.5,24.5,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_96.0,24.5,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_96.5,24.5,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_97.0,24.5,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_24.5_97.5,24.5,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_88.0,25.0,88.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_88.5,25.0,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_89.0,25.0,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_89.5,25.0,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_90.0,25.0,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_90.5,25.0,90.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_91.0,25.0,91.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_91.5,25.0,91.5,6,0.1224,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_92.0,25.0,92.0,11,0.2245,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_92.5,25.0,92.5,7,0.1429,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_93.0,25.0,93.0,13,0.2653,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_93.5,25.0,93.5,7,0.1429,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_94.0,25.0,94.0,27,0.551,high,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_94.5,25.0,94.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_95.0,25.0,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_95.5,25.0,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_96.0,25.0,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_96.5,25.0,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_97.0,25.0,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.0_97.5,25.0,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_88.0,25.5,88.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_88.5,25.5,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_89.0,25.5,89.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_89.5,25.5,89.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_90.0,25.5,90.0,7,0.1429,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_90.5,25.5,90.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_91.0,25.5,91.0,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_91.5,25.5,91.5,11,0.2245,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_92.0,25.5,92.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_92.5,25.5,92.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_93.0,25.5,93.0,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_93.5,25.5,93.5,10,0.2041,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_94.0,25.5,94.0,29,0.5918,high,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_94.5,25.5,94.5,5,0.102,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_95.0,25.5,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_95.5,25.5,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_96.0,25.5,96.0,11,0.2245,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_96.5,25.5,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_97.0,25.5,97.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_25.5_97.5,25.5,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_88.0,26.0,88.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_88.5,26.0,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_89.0,26.0,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_89.5,26.0,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_90.0,26.0,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_90.5,26.0,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_91.0,26.0,91.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_91.5,26.0,91.5,49,1.0,very_high,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_92.0,26.0,92.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_92.5,26.0,92.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_93.0,26.0,93.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_93.5,26.0,93.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_94.0,26.0,94.0,8,0.1633,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_94.5,26.0,94.5,28,0.5714,high,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_95.0,26.0,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_95.5,26.0,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_96.0,26.0,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_96.5,26.0,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_97.0,26.0,97.0,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.0_97.5,26.0,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_88.0,26.5,88.0,48,0.9796,very_high,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_88.5,26.5,88.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_89.0,26.5,89.0,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_89.5,26.5,89.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_90.0,26.5,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_90.5,26.5,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_91.0,26.5,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_91.5,26.5,91.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_92.0,26.5,92.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_92.5,26.5,92.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_93.0,26.5,93.0,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_93.5,26.5,93.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_94.0,26.5,94.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_94.5,26.5,94.5,4,0.0816,low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_95.0,26.5,95.0,6,0.1224,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_95.5,26.5,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_96.0,26.5,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_96.5,26.5,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_97.0,26.5,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_26.5_97.5,26.5,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_88.0,27.0,88.0,46,0.9388,very_high,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_88.5,27.0,88.5,24,0.4898,high,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_89.0,27.0,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_89.5,27.0,89.5,11,0.2245,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_90.0,27.0,90.0,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_90.5,27.0,90.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_91.0,27.0,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_91.5,27.0,91.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_92.0,27.0,92.0,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_92.5,27.0,92.5,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_93.0,27.0,93.0,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_93.5,27.0,93.5,25,0.5102,high,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_94.0,27.0,94.0,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_94.5,27.0,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_95.0,27.0,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_95.5,27.0,95.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_96.0,27.0,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_96.5,27.0,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_97.0,27.0,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.0_97.5,27.0,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_88.0,27.5,88.0,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_88.5,27.5,88.5,10,0.2041,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_89.0,27.5,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_89.5,27.5,89.5,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_90.0,27.5,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_90.5,27.5,90.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_91.0,27.5,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_91.5,27.5,91.5,6,0.1224,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_92.0,27.5,92.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_92.5,27.5,92.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_93.0,27.5,93.0,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_93.5,27.5,93.5,5,0.102,moderate,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_94.0,27.5,94.0,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_94.5,27.5,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_95.0,27.5,95.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_95.5,27.5,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_96.0,27.5,96.0,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_96.5,27.5,96.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_97.0,27.5,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_27.5_97.5,27.5,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_88.0,28.0,88.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_88.5,28.0,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_89.0,28.0,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_89.5,28.0,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_90.0,28.0,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_90.5,28.0,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_91.0,28.0,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_91.5,28.0,91.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_92.0,28.0,92.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_92.5,28.0,92.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_93.0,28.0,93.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_93.5,28.0,93.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_94.0,28.0,94.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_94.5,28.0,94.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_95.0,28.0,95.0,3,0.0612,low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_95.5,28.0,95.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_96.0,28.0,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_96.5,28.0,96.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_97.0,28.0,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.0_97.5,28.0,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_88.0,28.5,88.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_88.5,28.5,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_89.0,28.5,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_89.5,28.5,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_90.0,28.5,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_90.5,28.5,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_91.0,28.5,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_91.5,28.5,91.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
