latitude,longitude,event_date,elevation,slope,aspect,curvature,land_cover_code,historical_landslide_density,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3day,rainfall_7day,soil_moisture_0_7cm,soil_moisture_7_28cm,earthquake_count_7d,nearest_eq_distance_km,max_eq_magnitude,landslide_occurrence
26.9986,95.4993,2012-06-25,535.5,0.72,179.1,0.0,1.0,0.0,2.3,11.0,18.4,24.7,42.8,97.5,219.9,0.496,0.508,0,500.0,0.0,1
24.0,93.0,2019-05-08,374.0,0.4,208.3,2e-06,0.0,0.102,0.45,0.29,3.19,3.74,20.87,13.17,76.77,0.497,0.29,0,344.2,2.64,0
25.5144,90.2167,2011-08-16,535.5,0.72,179.1,0.0,1.0,0.0,3.2,16.9,30.4,38.5,44.6,64.9,174.9,0.493,0.504,0,500.0,0.0,1
27.0,91.5,2022-01-03,1594.0,2.09,12.5,-2e-06,1.0,0.0204,0.68,0.03,3.45,11.18,21.58,60.74,46.72,0.446,0.334,1,262.8,5.11,0
27.1176,88.1069,2016-07-20,535.5,0.72,179.1,0.0,1.0,0.0,0.5,1.8,2.4,11.3,17.7,334.8,416.8,0.421,0.425,1,729.1,4.0,1
22.0,92.0,2016-12-04,36.0,0.66,222.2,1e-06,5.0,0.1429,0.49,0.12,1.24,1.23,11.5,10.07,27.49,0.337,0.413,5,213.8,4.17,0
26.0093,94.5238,2010-07-06,535.5,0.72,179.1,0.0,1.0,0.0,0.5,2.0,2.4,3.2,4.4,41.2,119.8,0.489,0.496,1,236.0,4.4,1
27.7344,88.633,2011-08-25,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.7,0.9,6.5,9.0,28.0,53.8,0.419,0.421,0,500.0,0.0,1
25.0,91.5,2021-05-31,10.0,1.71,359.8,2e-06,6.0,0.1224,0.54,1.88,1.5,10.64,0.62,59.5,129.74,0.338,0.421,1,376.4,1.92,0
27.0,96.0,2021-12-05,1342.0,0.65,235.3,-3e-06,0.0,0.0,0.28,0.17,4.71,4.71,10.74,35.77,137.82,0.367,0.44,0,89.1,4.72,0
23.72988966,92.71495623,2010-09-13,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.3,0.3,2.7,4.9,17.1,41.7,0.407,0.41,2,213.7,5.1,1
26.0,89.0,2010-07-10,49.0,0.04,20.9,-0.0,5.0,0.0,0.5,2.47,0.63,3.59,19.95,51.42,115.6,0.479,0.379,3,158.6,4.85,0
24.5,95.5,2010-03-07,268.0,0.2,209.7,-0.0,2.0,0.0,0.83,2.02,4.52,8.22,6.79,57.34,134.42,0.328,0.294,3,175.3,4.41,0
29.5,90.0,2009-10-06,4704.0,5.22,183.6,-2e-06,4.0,0.0,0.49,0.87,4.04,1.21,11.2,49.58,111.14,0.434,0.419,1,58.9,0.54,0
23.0,94.5,2020-07-18,240.0,0.1,290.0,0.0,2.0,0.0,0.06,2.27,2.33,5.71,11.67,6.96,72.0,0.502,0.349,2,459.2,6.21,0
29.0,95.0,2016-06-27,1446.0,2.67,347.0,6e-06,0.0,0.0,0.57,1.91,2.98,11.01,17.71,38.26,119.85,0.472,0.308,3,308.9,6.45,0
26.87324244,88.29184021,2009-07-03,535.5,0.72,179.1,0.0,1.0,0.0,0.2,0.6,3.0,18.1,61.1,139.1,388.8,0.421,0.426,0,500.0,0.0,1
27.5,92.0,2009-04-09,3933.0,4.02,358.3,-7e-06,4.0,0.0,0.88,1.75,1.68,8.72,20.74,49.46,95.12,0.496,0.412,5,421.5,2.93,0
24.5,97.0,2010-01-23,748.0,0.51,272.6,-2e-06,2.0,0.0,0.26,0.23,1.94,9.27,12.36,27.59,133.07,0.447,0.406,2,370.2,2.25,0
29.4903,90.9352,2012-05-03,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.7,0.7,0.7,6.4,18.0,0.245,0.236,1,383.4,4.2,1
28.5,97.0,2021-01-17,1794.0,1.12,347.0,1e-05,0.0,0.0,0.36,0.91,4.66,7.5,7.52,22.22,139.28,0.424,0.392,4,413.6,6.38,0
26.5,90.5,2010-12-23,64.0,0.75,0.6,1e-06,5.0,0.0,0.39,0.28,2.3,4.53,1.8,61.08,113.09,0.341,0.458,0,260.1,0.74,0
27.5,91.0,2010-03-25,3987.0,2.49,358.2,-8e-06,4.0,0.0,0.27,1.63,0.35,7.66,12.69,22.31,66.43,0.315,0.452,1,433.6,5.12,0
27.5,95.5,2013-03-13,132.0,0.55,184.0,1e-06,5.0,0.0,0.24,1.24,2.8,3.98,2.7,39.51,62.96,0.339,0.375,3,258.9,0.35,0
22.9231,96.5016,2008-06-11,535.5,0.72,179.1,0.0,1.0,0.0,0.2,2.3,5.9,7.2,19.4,78.2,150.1,0.507,0.501,2,199.0,4.3,1
25.0,90.5,2014-09-29,11.0,0.44,1.4,1e-06,1.0,0.0408,0.72,0.47,4.94,9.69,5.19,50.76,40.3,0.5,0.347,2,54.8,1.24,0
26.1868,91.6739,2015-09-01,535.5,0.72,179.1,0.0,1.0,0.0,0.6,6.1,14.1,59.8,87.3,125.6,216.3,0.511,0.514,3,231.7,4.2,1
26.8716,94.9921,2010-07-20,535.5,0.72,179.1,0.0,1.0,0.0,6.5,16.8,23.4,28.7,46.3,90.9,172.6,0.508,0.518,1,530.6,4.6,1
24.1419,94.1078,2015-08-01,535.5,0.72,179.1,0.0,1.0,0.0,7.2,25.6,51.5,72.0,164.5,330.8,493.5,0.47,0.47,1,461.8,4.4,1
25.38,91.88,2007-07-26,535.5,0.72,179.1,0.0,1.0,0.0,3.8,12.6,28.5,62.7,87.0,190.6,346.5,0.505,0.518,1,306.4,4.3,1
27.5,93.0,2009-07-24,777.0,2.77,7.5,6e-06,0.0,0.0408,0.16,1.53,3.76,2.28,10.32,19.29,106.16,0.485,0.462,5,369.3,0.59,0
27.10647226,93.65975252,2017-07-01,535.5,0.72,179.1,0.0,1.0,0.0,0.2,1.4,5.3,17.1,51.2,102.5,162.3,0.507,0.508,2,364.0,4.6,1
29.0,93.0,2010-10-08,3846.0,0.63,305.8,4e-06,4.0,0.0,0.08,1.26,0.37,8.59,17.37,11.09,78.44,0.41,0.346,4,217.3,1.38,0
23.5,89.5,2022-07-01,8.0,0.01,14.0,0.0,1.0,0.0,0.18,2.34,0.98,3.97,2.07,59.42,138.19,0.494,0.364,1,429.0,5.08,0
26.0214,94.5224,2015-08-19,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.2,0.9,3.2,10.3,29.9,62.2,0.502,0.509,2,157.9,4.5,1
29.5,92.5,2022-06-11,5352.0,3.69,179.1,-9e-06,4.0,0.0,0.59,1.49,2.48,1.03,11.11,25.51,83.78,0.427,0.344,2,467.7,5.69,0
27.0,94.5,2020-10-10,89.0,0.63,182.0,1e-06,5.0,0.0,0.38,0.75,2.28,1.99,4.24,11.49,79.87,0.4,0.313,4,409.0,1.21,0
26.5,90.5,2015-07-14,64.0,0.75,0.6,1e-06,5.0,0.0,0.28,1.86,3.0,3.44,16.18,47.79,37.35,0.464,0.317,4,153.2,2.5,0
27.04357147,88.26522126,2009-05-26,535.5,0.72,179.1,0.0,1.0,0.0,2.2,7.3,14.6,23.3,33.5,54.9,145.4,0.431,0.43,1,842.7,4.2,1
27.1614,93.7525,2013-09-02,535.5,0.72,179.1,0.0,1.0,0.0,0.2,1.6,2.9,5.8,12.1,33.1,94.7,0.47,0.469,1,192.3,4.5,1
29.5,95.5,2017-02-03,1509.0,2.66,172.9,6e-06,0.0,0.0,0.62,2.5,3.56,9.09,2.0,11.55,42.01,0.466,0.44,1,430.9,1.36,0
27.06992579,93.6146564,2017-06-19,535.5,0.72,179.1,0.0,1.0,0.0,0.3,1.1,2.1,2.5,5.8,104.8,258.4,0.506,0.496,1,273.5,4.6,1
25.5498,92.0757,2012-06-13,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.3,0.4,6.7,9.5,32.6,79.0,0.49,0.496,3,304.3,4.7,1
27.0,90.0,2017-06-28,2022.0,1.82,31.7,-4e-06,1.0,0.0612,0.55,2.54,4.61,9.11,0.08,61.08,69.03,0.47,0.49,0,304.9,5.65,0
25.0,93.0,2022-08-05,532.0,0.69,249.5,-1e-06,0.0,0.2653,0.06,0.32,1.99,6.22,8.92,6.93,121.56,0.348,0.396,4,296.0,1.8,0
25.6127,96.2961,2016-05-23,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.4,3.4,96.9,132.6,0.482,0.485,2,256.7,4.8,1
29.5,94.0,2011-03-24,5108.0,4.3,175.7,-8e-06,2.0,0.0,0.85,0.54,1.11,7.46,3.57,14.15,27.19,0.295,0.387,4,240.3,0.21,0
25.0,91.0,2015-04-05,5.0,0.7,0.1,1e-06,5.0,0.0204,0.5,0.58,5.14,3.36,6.57,16.41,107.86,0.361,0.365,5,144.0,0.79,0
25.0,91.5,2011-06-29,10.0,1.71,359.8,2e-06,6.0,0.1224,0.2,0.14,0.19,3.01,1.51,9.25,46.58,0.425,0.444,3,202.5,1.43,0
25.0,92.0,2010-11-05,16.0,1.63,359.3,2e-06,1.0,0.2245,0.42,0.11,2.06,10.68,14.33,13.0,138.74,0.373,0.352,0,101.4,5.13,0
26.10973183,91.80317334,2017-07-06,535.5,0.72,179.1,0.0,1.0,0.0,0.0,1.6,3.2,15.0,36.6,257.3,463.7,0.505,0.512,2,350.4,4.9,1
29.5,89.0,2014-09-28,5361.0,4.51,187.2,-9e-06,4.0,0.0,0.04,0.57,3.79,0.15,20.89,46.61,136.47,0.469,0.391,5,39.7,3.63,0
23.5,95.0,2010-05-24,417.0,0.1,47.2,-1e-06,1.0,0.0,0.62,0.77,3.98,0.37,18.46,9.35,128.74,0.45,0.477,5,327.1,2.53,0
26.5,96.5,2015-05-15,201.0,0.65,3.7,3e-06,0.0,0.0,0.19,0.76,2.77,5.14,8.37,3.19,59.42,0.486,0.374,0,73.3,2.72,0
26.0746,97.3668,2015-12-25,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.418,0.426,2,427.4,4.3,1
23.8447,93.0514,2015-08-26,535.5,0.72,179.1,0.0,1.0,0.0,0.3,0.9,0.9,6.2,7.5,22.0,89.8,0.423,0.422,1,370.7,3.9,1
25.4769,94.1351,2010-10-08,535.5,0.72,179.1,0.0,1.0,0.0,0.6,1.6,2.9,8.2,22.6,54.9,83.1,0.511,0.51,0,500.0,0.0,1
24.5,97.0,2017-07-06,748.0,0.51,272.6,-2e-06,2.0,0.0,0.54,1.22,0.13,10.57,5.55,49.43,75.49,0.463,0.373,2,186.2,0.13,0
22.0,90.5,2016-05-18,5.0,0.52,179.6,1e-06,1.0,0.0,0.19,1.48,1.7,2.63,1.52,21.55,44.75,0.34,0.411,5,307.9,5.74,0
28.0,93.0,2020-11-02,3033.0,5.29,39.3,-1e-06,2.0,0.0,0.87,0.81,2.05,4.44,2.6,26.15,76.21,0.331,0.435,2,460.2,3.84,0
23.0,94.5,2011-01-05,240.0,0.1,290.0,0.0,2.0,0.0,0.58,1.6,2.17,5.61,17.05,64.9,30.34,0.388,0.415,0,337.2,5.54,0
22.894,91.5327,2007-10-19,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,2.4,10.7,42.8,96.2,0.494,0.504,2,92.6,4.5,1
26.138,94.25,2008-08-19,535.5,0.72,179.1,0.0,1.0,0.0,2.0,3.5,4.1,4.8,25.1,46.2,88.2,0.496,0.493,1,292.3,4.5,1
28.0,96.5,2011-10-09,1941.0,4.09,339.3,-1e-06,0.0,0.0408,0.25,2.2,3.03,7.13,4.9,22.08,141.35,0.307,0.465,1,415.7,1.37,0
24.0896,91.4663,2013-05-08,535.5,0.72,179.1,0.0,1.0,0.0,3.1,4.4,10.1,25.0,47.9,165.0,303.9,0.437,0.435,1,523.5,4.2,1
26.5,97.0,2020-09-19,462.0,1.4,350.9,1e-06,0.0,0.0,0.1,0.81,0.23,9.58,19.78,24.89,131.45,0.316,0.455,5,163.1,3.75,0
24.5,95.0,2009-01-09,182.0,0.24,192.3,0.0,5.0,0.0,0.01,2.22,2.29,4.41,20.08,6.66,24.64,0.47,0.455,4,109.0,0.53,0
27.0,89.0,2012-06-23,1156.0,4.51,347.5,4e-06,0.0,0.0,0.49,0.23,1.09,1.8,17.3,60.95,46.7,0.306,0.437,0,35.7,5.48,0
23.0,88.5,2011-05-11,11.0,0.01,28.7,0.0,1.0,0.0,0.38,0.2,0.67,0.15,11.8,10.63,42.85,0.477,0.314,3,252.6,4.07,0
28.0,88.5,2010-02-18,5337.0,3.33,9.7,-5e-06,2.0,0.0,0.1,0.14,2.25,2.02,13.53,42.37,124.66,0.441,0.423,2,172.8,1.29,0
26.0,95.5,2009-09-01,1084.0,0.52,11.3,-2e-06,0.0,0.0,0.53,1.24,3.55,1.14,1.4,53.08,18.5,0.417,0.503,0,113.4,5.15,0
24.9356,93.8443,2010-07-31,535.5,0.72,179.1,0.0,1.0,0.0,0.3,0.3,0.5,2.3,5.2,47.7,67.6,0.418,0.414,1,205.6,4.1,1
27.5,93.5,2018-08-09,1645.0,0.7,257.5,-4e-06,0.0,0.102,0.87,1.24,3.47,3.51,3.06,23.73,26.2,0.3,0.306,2,357.5,0.65,0
28.5,90.5,2012-10-03,5037.0,1.02,197.3,0.0,4.0,0.0,0.81,1.29,3.19,11.27,20.87,65.61,136.5,0.41,0.373,3,472.6,4.35,0
22.0,92.0,2019-04-03,36.0,0.66,222.2,1e-06,5.0,0.1429,0.75,1.05,0.96,4.18,18.5,65.99,139.56,0.418,0.384,0,172.4,5.87,0
22.2144,92.235,2015-06-26,535.5,0.72,179.1,0.0,1.0,0.0,8.5,17.8,20.9,23.0,47.4,198.8,253.4,0.43,0.429,0,500.0,0.0,1
23.5,89.5,2020-10-18,8.0,0.01,14.0,0.0,1.0,0.0,0.58,1.5,0.57,3.3,5.26,38.14,61.49,0.3,0.319,3,105.4,5.3,0
23.7736,94.1201,2015-08-01,535.5,0.72,179.1,0.0,1.0,0.0,1.4,9.1,22.4,39.9,145.0,509.2,746.5,0.497,0.513,1,495.2,4.4,1
26.7973,88.1389,2016-08-09,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,35.4,63.8,0.396,0.402,0,500.0,0.0,1
25.5,88.0,2021-08-03,33.0,0.31,86.5,1e-06,6.0,0.0,0.45,1.63,0.59,8.55,4.14,2.88,131.98,0.402,0.397,1,42.1,2.81,0
24.5,88.0,2009-02-10,22.0,0.31,89.2,1e-06,1.0,0.0204,0.52,2.58,0.44,7.76,11.34,43.44,32.32,0.378,0.426,5,84.4,1.35,0
24.7016,93.5291,2015-08-11,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,2.6,11.3,34.3,94.9,0.419,0.425,0,500.0,0.0,1
24.9111,94.4759,2015-08-01,535.5,0.72,179.1,0.0,1.0,0.0,1.8,5.4,7.7,18.8,58.8,155.4,244.8,0.43,0.429,1,426.3,4.4,1
28.235,94.9612,2016-07-19,535.5,0.72,179.1,0.0,1.0,0.0,1.4,4.9,11.0,22.3,43.7,94.4,201.1,0.43,0.428,1,410.8,4.0,1
25.167803,92.019575,2017-03-08,535.5,0.72,179.1,0.0,1.0,0.0,0.7,1.5,2.3,2.3,2.3,18.0,29.9,0.427,0.411,4,257.4,5.1,1
28.5,93.0,2009-11-17,4718.0,1.38,52.2,-5e-06,4.0,0.0,0.3,0.04,2.48,9.38,9.42,22.72,58.2,0.367,0.306,2,252.0,0.31,0
26.0,97.5,2019-12-31,292.0,0.38,351.3,1e-06,0.0,0.0,0.9,0.99,5.08,8.58,1.98,19.43,29.36,0.346,0.469,5,461.9,2.96,0
26.1665,91.7049,2013-10-06,535.5,0.72,179.1,0.0,1.0,0.0,0.5,2.4,4.1,5.4,13.6,38.8,70.6,0.51,0.509,1,351.0,5.2,1
23.6866,93.017,2015-08-27,535.5,0.72,179.1,0.0,1.0,0.0,1.6,3.4,4.3,5.9,16.6,33.9,90.3,0.43,0.431,1,379.9,3.9,1
25.3433,92.2897,2010-05-11,535.5,0.72,179.1,0.0,1.0,0.0,3.0,7.0,11.2,18.0,33.3,138.8,145.7,0.507,0.513,0,500.0,0.0,1
26.0,95.5,2012-08-06,1084.0,0.52,11.3,-2e-06,0.0,0.0,0.47,1.79,1.03,11.2,17.18,26.11,61.14,0.376,0.453,0,405.6,5.04,0
23.0,88.5,2009-12-24,11.0,0.01,28.7,0.0,1.0,0.0,0.67,0.59,4.31,8.97,1.22,40.8,43.14,0.301,0.304,3,300.9,4.42,0
26.5,91.0,2010-08-18,42.0,1.83,0.1,2e-06,5.0,0.0,0.34,2.45,2.09,1.14,6.85,11.64,37.75,0.494,0.461,3,328.1,1.13,0
24.5,90.5,2017-02-10,11.0,0.01,64.4,0.0,1.0,0.0,0.14,0.76,2.33,5.72,16.62,9.13,100.44,0.365,0.319,1,225.2,2.7,0
22.0,94.5,2009-12-28,231.0,0.31,148.4,0.0,0.0,0.0,0.54,0.01,1.38,2.78,7.84,25.45,63.87,0.403,0.404,3,195.1,0.8,0
23.5,89.0,2017-05-09,11.0,0.0,68.2,0.0,5.0,0.0,0.65,2.05,0.19,2.66,9.99,53.92,139.63,0.299,0.47,2,146.2,2.5,0
29.5,93.5,2019-05-02,4826.0,4.51,180.3,-5e-06,4.0,0.0,0.53,1.65,1.74,4.4,21.09,3.29,61.19,0.367,0.385,3,428.6,3.24,0
26.5,96.0,2011-07-10,526.0,0.51,38.4,1e-06,0.0,0.0,0.44,2.58,1.19,10.81,6.4,7.58,60.31,0.37,0.49,0,448.8,3.93,0
25.5,92.0,2010-01-08,1584.0,0.51,47.8,-4e-06,0.0,0.0204,0.86,0.16,5.13,2.15,18.48,35.79,85.77,0.402,0.305,3,377.9,2.5,0
26.5,91.5,2020-07-23,58.0,1.61,359.5,2e-06,1.0,0.0,0.89,1.83,4.85,3.25,21.54,7.13,45.55,0.465,0.443,0,371.2,1.24,0
26.0,89.0,2020-11-24,49.0,0.04,20.9,-0.0,5.0,0.0,0.39,0.68,1.65,11.06,11.33,68.01,53.56,0.37,0.382,2,310.3,4.95,0
26.8545,88.3372,2011-09-28,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.1,2.5,52.8,110.4,205.3,0.411,0.417,2,634.0,4.7,1
25.0,89.0,2017-02-02,21.0,0.02,13.4,0.0,1.0,0.0,0.52,1.84,3.19,9.21,16.3,5.13,100.44,0.387,0.389,4,28.3,2.59,0
25.0,91.0,2012-07-13,5.0,0.7,0.1,1e-06,5.0,0.0204,0.85,2.12,1.59,3.58,7.02,50.83,24.73,0.413,0.337,3,120.7,6.25,0
28.0,92.5,2015-09-24,5668.0,3.0,24.7,-1e-05,2.0,0.0,0.23,2.23,0.25,1.12,3.72,16.96,50.14,0.471,0.31,5,174.0,2.35,0
23.5,88.0,2009-07-16,27.0,0.32,88.9,1e-06,1.0,0.0204,0.42,2.07,3.89,2.34,13.96,30.37,23.4,0.368,0.464,1,15.5,1.31,0
26.8833,88.2833,2007-09-07,535.5,0.72,179.1,0.0,1.0,0.0,7.3,17.7,37.7,74.9,88.0,237.0,303.3,0.429,0.431,1,485.3,4.5,1
25.5,95.0,2022-08-09,1496.0,1.25,34.9,-4e-06,2.0,0.0,0.08,1.99,2.31,4.46,14.99,34.37,85.89,0.323,0.374,4,154.5,4.12,0
28.0,90.0,2012-01-04,4023.0,3.6,351.9,1e-06,4.0,0.0,0.45,1.57,3.76,4.23,19.33,35.55,35.19,0.335,0.296,0,463.5,6.18,0
24.0,90.0,2012-03-05,8.0,0.02,12.3,0.0,1.0,0.0,0.26,1.78,4.24,10.76,8.43,43.16,78.04,0.339,0.361,5,362.9,5.54,0
27.3543,88.6428,2010-05-31,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,2.6,3.5,15.8,62.7,0.383,0.382,0,500.0,0.0,1
25.0,88.5,2011-12-17,27.0,0.01,35.5,-0.0,6.0,0.0,0.82,0.73,3.6,3.1,22.65,54.4,55.46,0.414,0.297,2,187.2,4.28,0
23.5,97.0,2018-10-08,319.0,1.07,216.6,2e-06,0.0,0.0,0.16,1.36,3.43,6.96,20.86,54.62,77.11,0.468,0.418,2,427.3,5.4,0
29.0,95.5,2016-11-16,3034.0,1.6,251.1,-4e-06,4.0,0.0204,0.67,1.79,5.22,2.55,14.61,12.93,106.44,0.453,0.444,4,402.0,3.22,0
22.3521,91.8151,2013-07-28,535.5,0.72,179.1,0.0,1.0,0.0,1.9,5.7,11.2,22.3,49.0,119.6,132.2,0.283,0.284,0,500.0,0.0,1
24.0,97.0,2009-08-15,142.0,0.98,297.0,3e-06,1.0,0.0,0.22,2.15,2.45,6.33,9.9,46.02,22.31,0.328,0.319,2,396.9,1.81,0
24.5,90.5,2021-03-18,11.0,0.01,64.4,0.0,1.0,0.0,0.56,1.61,2.33,3.9,18.42,46.14,116.88,0.48,0.307,4,173.9,4.71,0
27.0095,88.2592,2009-05-26,535.5,0.72,179.1,0.0,1.0,0.0,2.2,7.3,14.6,23.3,33.5,54.9,145.4,0.431,0.43,1,842.5,4.2,1
26.1016,91.6906,2013-05-11,535.5,0.72,179.1,0.0,1.0,0.0,9.3,9.4,9.4,9.5,16.5,21.3,56.0,0.465,0.425,1,499.8,4.2,1
23.5,93.0,2016-06-19,737.0,0.89,209.6,1e-06,1.0,0.0816,0.83,1.68,2.38,6.09,15.43,62.37,61.56,0.487,0.502,1,303.4,3.51,0
29.0,88.0,2010-04-27,5088.0,2.69,300.2,-8e-06,2.0,0.0,0.07,1.01,2.32,2.97,17.66,62.76,145.14,0.4,0.44,1,361.2,6.22,0
24.0,91.5,2009-10-28,115.0,0.05,231.3,-0.0,5.0,0.102,0.85,1.52,0.82,6.43,22.54,31.67,100.31,0.438,0.352,2,352.8,3.27,0
26.1833,91.8,2007-09-13,535.5,0.72,179.1,0.0,1.0,0.0,0.0,1.1,1.4,2.1,3.3,10.4,208.9,0.494,0.494,2,365.1,4.6,1
27.0,89.5,2019-07-21,2283.0,3.84,351.6,-3e-06,0.0,0.2245,0.48,2.41,4.78,8.37,11.34,37.02,134.78,0.31,0.47,5,55.2,3.2,0
28.5,94.5,2016-09-27,1320.0,1.78,32.8,2e-06,0.0,0.0408,0.22,1.92,5.02,9.3,19.97,38.02,95.59,0.422,0.498,5,465.8,4.96,0
22.5,94.5,2010-12-04,249.0,0.18,87.0,0.0,2.0,0.0,0.02,2.39,4.59,3.75,2.05,65.19,63.26,0.451,0.497,2,421.9,2.36,0
24.6869,93.9157,2011-07-25,535.5,0.72,179.1,0.0,1.0,0.0,0.0,1.7,1.7,5.2,5.3,16.6,92.9,0.427,0.423,1,187.2,4.0,1
29.0,89.0,2013-07-11,4805.0,0.58,6.5,-1e-06,2.0,0.0,0.57,0.08,1.42,11.04,12.82,40.42,118.78,0.304,0.357,2,14.2,2.32,0
27.0,89.0,2009-12-09,1156.0,4.51,347.5,4e-06,0.0,0.0,0.63,1.17,3.5,2.52,14.47,10.21,133.12,0.397,0.329,2,92.0,4.81,0
27.1071241,93.65156438,2017-07-09,535.5,0.72,179.1,0.0,1.0,0.0,1.6,7.0,18.5,34.7,57.5,79.1,144.8,0.504,0.501,1,293.4,4.5,1
24.5,97.0,2019-03-31,748.0,0.51,272.6,-2e-06,2.0,0.0,0.89,0.77,2.45,1.13,3.97,5.1,54.79,0.463,0.357,5,66.8,5.53,0
22.3555,91.8205,2007-06-11,535.5,0.72,179.1,0.0,1.0,0.0,1.1,4.8,9.2,14.5,23.1,81.3,130.3,0.281,0.275,1,653.7,4.2,1
27.02459801,88.43849551,2009-08-16,535.5,0.72,179.1,0.0,1.0,0.0,8.0,21.2,45.3,86.7,97.5,282.5,354.5,0.437,0.438,1,704.0,5.5,1
