report_id,submitted_at,user_id,latitude,longitude,location_name,hazard_type,severity,description,photo_id,status,verified_by,source
CR0032,2026-08-14T05:21:50Z,U9821,26.6712,92.8807,"Tezpur, Assam",waterlogging,high,"Community report from Tezpur, Assam: observed tree_fall near main road.",,resolved,AUTH02,resqnet_citizen
CR0033,2026-07-14T20:22:50Z,U6067,26.6672,92.7578,"Tezpur, Assam",soil_movement,moderate,"Community report from Tezpur, Assam: observed waterlogging near main road.",PH0033,dismissed,AUTH03,resqnet_citizen
CR0034,2026-08-04T20:29:50Z,U9977,24.9,92.7397,"Silchar, Assam",waterlogging,critical,"Community report from Silchar, Assam: observed road_damage near main road.",PH0034,dismissed,AUTH09,resqnet_citizen
CR0035,2026-07-21T06:44:50Z,U2389,27.2882,88.6466,"Gangtok, Sikkim",road_damage,low,"Community report from Gangtok, Sikkim: observed waterlogging near main road.",PH0035,verified,AUTH03,resqnet_citizen
CR0036,2026-09-07T22:24:50Z,U2193,26.1356,91.8134,"Guwahati, Assam",waterlogging,critical,"Community report from Guwahati, Assam: observed embankment_failure near main road.",,verified,AUTH01,resqnet_citizen
CR0037,2026-07-24T02:05:50Z,U7965,24.2768,93.7438,"Churachandpur, Manipur",embankment_failure,low,"Community report from Churachandpur, Manipur: observed waterlogging near main road.",PH0037,pending,,resqnet_citizen
CR0038,2026-08-11T08:21:50Z,U6198,25.388,91.6608,"Mawsynram, Meghalaya",tree_fall,critical,"Community report from Mawsynram, Meghalaya: observed road_crack near main road.",PH0038,dismissed,,resqnet_citizen
CR0039,2026-08-25T09:37:50Z,U9540,25.2949,91.5303,"Mawsynram, Meghalaya",embankment_failure,low,"Community report from Mawsynram, Meghalaya: observed soil_movement near main road.",,resolved,,resqnet_citizen
CR0040,2026-09-05T01:45:50Z,U4788,25.8766,93.6606,"Dimapur, Nagaland",waterlogging,low,"Community report from Dimapur, Nagaland: observed tree_fall near main road.",PH0040,dismissed,,resqnet_citizen
CR0041,2026-07-18T16:30:50Z,U1320,23.7984,92.7707,"Aizawl, Mizoram",tree_fall,critical,"Community report from Aizawl, Mizoram: observed landslide near main road.",PH0041,resolved,AUTH07,resqnet_citizen
CR0042,2026-07-24T06:20:50Z,U4613,25.8976,93.6846,"Dimapur, Nagaland",embankment_failure,low,"Community report from Dimapur, Nagaland: observed tree_fall near main road.",,dismissed,AUTH08,resqnet_citizen
CR0043,2026-09-01T10:20:50Z,U1441,24.4144,93.7014,"Churachandpur, Manipur",landslide,low,"Community report from Churachandpur, Manipur: observed tree_fall near main road.",,dismissed,,resqnet_citizen
CR0044,2026-08-16T19:41:50Z,U8449,25.6405,94.1608,"Kohima, Nagaland",tree_fall,high,"Community report from Kohima, Nagaland: observed tree_fall near main road.",,pending,,resqnet_citizen
CR0045,2026-08-07T04:32:50Z,U4673,26.6638,92.8488,"Tezpur, Assam",landslide,low,"Community report from Tezpur, Assam: observed waterlogging near main road.",,pending,AUTH04,resqnet_citizen
CR0046,2026-08-10T08:47:50Z,U4571,24.81,93.888,"Imphal, Manipur",road_damage,moderate,"Community report from Imphal, Manipur: observed rockfall near main road.",PH0046,verified,AUTH02,resqnet_citizen
CR0047,2026-09-08T20:18:50Z,U7149,24.8126,92.8219,"Silchar, Assam",rockfall,moderate,"Community report from Silchar, Assam: observed rockfall near main road.",PH0047,resolved,AUTH10,resqnet_citizen
CR0048,2026-09-02T11:04:50Z,U1672,25.2674,91.5682,"Mawsynram, Meghalaya",road_damage,low,"Community report from Mawsynram, Meghalaya: observed road_damage near main road.",,dismissed,AUTH02,resqnet_citizen
CR0049,2026-08-17T08:57:50Z,U8532,23.873,91.2739,"Agartala, Tripura",soil_movement,critical,"Community report from Agartala, Tripura: observed embankment_failure near main road.",PH0049,resolved,,resqnet_citizen
CR0050,2026-07-19T03:37:50Z,U8385,23.6759,92.7105,"Aizawl, Mizoram",tree_fall,high,"Community report from Aizawl, Mizoram: observed landslide near main road.",PH0050,resolved,,resqnet_citizen
CR0051,2026-08-18T21:33:50Z,U5581,23.8032,92.7578,"Aizawl, Mizoram",soil_movement,low,"Community report from Aizawl, Mizoram: observed waterlogging near main road.",,dismissed,,resqnet_citizen
CR0052,2026-08-25T07:24:50Z,U9041,25.2876,91.4859,"Mawsynram, Meghalaya",soil_movement,moderate,"Community report from Mawsynram, Meghalaya: observed tree_fall near main road.",PH0052,resolved,AUTH06,resqnet_citizen
CR0053,2026-08-05T13:32:50Z,U7971,27.4307,88.6239,"Gangtok, Sikkim",road_damage,critical,"Community report from Gangtok, Sikkim: observed soil_movement near main road.",,verified,,resqnet_citizen
CR0054,2026-08-21T02:07:50Z,U9779,23.8173,92.7556,"Aizawl, Mizoram",waterlogging,moderate,"Community report from Aizawl, Mizoram: observed embankment_failure near main road.",,resolved,AUTH04,resqnet_citizen
CR0055,2026-08-26T18:43:50Z,U5952,25.5779,94.1154,"Kohima, Nagaland",soil_movement,low,"Community report from Kohima, Nagaland: observed landslide near main road.",PH0055,verified,AUTH08,resqnet_citizen
CR0056,2026-07-17T05:18:50Z,U5658,25.5727,91.8814,"Shillong, Meghalaya",road_crack,low,"Community report from Shillong, Meghalaya: observed soil_movement near main road.",PH0056,dismissed,,resqnet_citizen
CR0057,2026-08-15T14:50:50Z,U1878,25.5091,91.9555,"Shillong, Meghalaya",soil_movement,low,"Community report from Shillong, Meghalaya: observed waterlogging near main road.",,dismissed,AUTH10,resqnet_citizen
CR0058,2026-07-22T13:30:50Z,U8381,23.8088,92.6771,"Aizawl, Mizoram",tree_fall,high,"Community report from Aizawl, Mizoram: observed landslide near main road.",PH0058,pending,AUTH04,resqnet_citizen
CR0059,2026-08-27T21:12:50Z,U2330,26.6823,94.1385,"Jorhat, Assam",rockfall,moderate,"Community report from Jorhat, Assam: observed landslide near main road.",PH0059,dismissed,,resqnet_citizen
CR0060,2026-08-22T07:36:50Z,U8438,23.6413,92.6643,"Aizawl, Mizoram",soil_movement,moderate,"Community report from Aizawl, Mizoram: observed tree_fall near main road.",,verified,AUTH05,resqnet_citizen
CR0061,2026-09-01T03:51:50Z,U3718,25.3425,91.745,"Cherrapunji, Meghalaya",soil_movement,critical,"Community report from Cherrapunji, Meghalaya: observed rockfall near main road.",PH0061,resolved,AUTH05,resqnet_citizen
CR0062,2026-08-06T14:26:50Z,U2317,25.9196,93.8079,"Dimapur, Nagaland",road_damage,high,"Community report from Dimapur, Nagaland: observed landslide near main road.",,pending,AUTH05,resqnet_citizen
CR0063,2026-09-08T00:24:50Z,U9502,24.8636,92.8621,"Silchar, Assam",road_crack,critical,"Community report from Silchar, Assam: observed embankment_failure near main road.",PH0063,dismissed,,resqnet_citizen
CR0064,2026-08-20T08:48:50Z,U3634,27.0504,93.644,"Itanagar, Arunachal",soil_movement,critical,"Community report from Itanagar, Arunachal: observed landslide near main road.",PH0064,resolved,,resqnet_citizen
CR0065,2026-07-22T16:59:50Z,U9431,25.6438,91.7935,"Shillong, Meghalaya",embankment_failure,critical,"Community report from Shillong, Meghalaya: observed landslide near main road.",,resolved,AUTH08,resqnet_citizen
CR0066,2026-08-13T04:41:50Z,U5375,26.7607,94.2892,"Jorhat, Assam",embankment_failure,critical,"Community report from Jorhat, Assam: observed rockfall near main road.",,verified,AUTH05,resqnet_citizen
CR0067,2026-09-09T12:28:50Z,U2527,25.8449,93.7983,"Dimapur, Nagaland",rockfall,critical,"Community report from Dimapur, Nagaland: observed rockfall near main road.",PH0067,verified,,resqnet_citizen
CR0068,2026-08-22T13:09:50Z,U5479,26.6169,92.7891,"Tezpur, Assam",embankment_failure,moderate,"Community report from Tezpur, Assam: observed embankment_failure near main road.",PH0068,dismissed,,resqnet_citizen
CR0069,2026-08-08T05:58:50Z,U3236,24.9061,92.7341,"Silchar, Assam",tree_fall,high,"Community report from Silchar, Assam: observed soil_movement near main road.",PH0069,resolved,AUTH10,resqnet_citizen
CR0070,2026-07-29T13:59:50Z,U3434,24.8226,92.7758,"Silchar, Assam",road_damage,critical,"Community report from Silchar, Assam: observed embankment_failure near main road.",PH0070,verified,AUTH04,resqnet_citizen
CR0071,2026-08-16T22:00:50Z,U7730,24.742,92.8278,"Silchar, Assam",tree_fall,critical,"Community report from Silchar, Assam: observed road_crack near main road.",PH0071,pending,,resqnet_citizen
CR0072,2026-08-20T01:59:50Z,U8213,24.7532,92.861,"Silchar, Assam",landslide,moderate,"Community report from Silchar, Assam: observed tree_fall near main road.",PH0072,verified,,resqnet_citizen
CR0073,2026-08-24T19:15:50Z,U7512,25.328,91.6529,"Mawsynram, Meghalaya",tree_fall,high,"Community report from Mawsynram, Meghalaya: observed embankment_failure near main road.",PH0073,pending,AUTH04,resqnet_citizen
CR0074,2026-07-28T20:40:50Z,U2480,26.7377,94.1234,"Jorhat, Assam",rockfall,critical,"Community report from Jorhat, Assam: observed road_crack near main road.",PH0074,pending,,resqnet_citizen
CR0075,2026-09-06T20:32:50Z,U7141,25.2841,91.5313,"Mawsynram, Meghalaya",tree_fall,moderate,"Community report from Mawsynram, Meghalaya: observed road_crack near main road.",,dismissed,AUTH04,resqnet_citizen
CR0076,2026-07-13T11:45:50Z,U4804,27.3236,88.5646,"Gangtok, Sikkim",soil_movement,low,"Community report from Gangtok, Sikkim: observed embankment_failure near main road.",PH0076,verified,,resqnet_citizen
CR0077,2026-08-03T20:14:50Z,U7951,27.1225,93.5967,"Itanagar, Arunachal",soil_movement,moderate,"Community report from Itanagar, Arunachal: observed tree_fall near main road.",PH0077,pending,,resqnet_citizen
CR0078,2026-08-18T11:36:50Z,U5837,24.7377,92.8449,"Silchar, Assam",tree_fall,high,"Community report from Silchar, Assam: observed landslide near main road.",PH0078,pending,AUTH08,resqnet_citizen
CR0079,2026-07-14T20:05:50Z,U4770,25.3054,91.6965,"Cherrapunji, Meghalaya",waterlogging,high,"Community report from Cherrapunji, Meghalaya: observed road_crack near main road.",PH0079,pending,,resqnet_citizen
CR0080,2026-09-07T11:31:50Z,U3153,27.2494,88.5728,"Gangtok, Sikkim",tree_fall,moderate,"Community report from Gangtok, Sikkim: observed waterlogging near main road.",,resolved,AUTH05,resqnet_citizen
